Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
03.01.2016 00:00:00 UTC+08:00,120.188,120.385,120.183,120.316,4554.27
04.01.2016 00:00:00 UTC+08:00,120.315,120.464,118.703,119.469,146692.82
05.01.2016 00:00:00 UTC+08:00,119.475,119.694,118.794,119.11,156293.9
06.01.2016 00:00:00 UTC+08:00,119.109,119.161,118.251,118.622,178412.54
07.01.2016 00:00:00 UTC+08:00,118.623,118.753,117.328,117.531,208172.34
08.01.2016 00:00:00 UTC+08:00,117.531,118.83,117.222,117.222,189598.57
10.01.2016 00:00:00 UTC+08:00,117.222,117.222,116.695,117.058,10762.81
11.01.2016 00:00:00 UTC+08:00,117.06,118.025,116.971,117.684,196173.66
12.01.2016 00:00:00 UTC+08:00,117.682,118.072,117.227,117.835,198056.19
13.01.2016 00:00:00 UTC+08:00,117.835,118.379,117.372,117.415,187727.34
14.01.2016 00:00:00 UTC+08:00,117.415,118.279,117.293,118.225,213431.75
15.01.2016 00:00:00 UTC+08:00,118.225,118.262,116.508,116.967,223095.76
17.01.2016 00:00:00 UTC+08:00,116.679,117.052,116.658,116.997,7524.15
18.01.2016 00:00:00 UTC+08:00,117.001,117.441,116.924,117.399,140341.56
19.01.2016 00:00:00 UTC+08:00,117.401,118.114,117.233,117.566,180902.71
20.01.2016 00:00:00 UTC+08:00,117.565,117.566,115.974,117.198,238727.18
21.01.2016 00:00:00 UTC+08:00,117.198,117.937,116.47,117.928,272544.73
22.01.2016 00:00:00 UTC+08:00,117.927,118.877,117.539,118.768,192109.61
24.01.2016 00:00:00 UTC+08:00,118.654,118.789,118.559,118.559,4617
25.01.2016 00:00:00 UTC+08:00,118.559,118.855,118.172,118.234,173302.43
26.01.2016 00:00:00 UTC+08:00,118.234,118.621,117.656,118.386,171653.93
27.01.2016 00:00:00 UTC+08:00,118.386,119.066,118.043,118.479,194101.1
28.01.2016 00:00:00 UTC+08:00,118.482,118.991,118.414,118.927,188795.72
29.01.2016 00:00:00 UTC+08:00,118.927,121.686,118.498,121.12,217156.75
31.01.2016 00:00:00 UTC+08:00,121.33,121.487,121.155,121.348,8397.64
01.02.2016 00:00:00 UTC+08:00,121.345,121.439,120.677,120.855,161690.69
02.02.2016 00:00:00 UTC+08:00,120.855,121.012,119.684,119.849,181471.81
03.02.2016 00:00:00 UTC+08:00,119.849,120.043,117.052,118.166,239275.62
04.02.2016 00:00:00 UTC+08:00,118.166,118.212,116.527,116.854,235747.12
05.02.2016 00:00:00 UTC+08:00,116.851,117.428,116.292,116.817,203091.08
07.02.2016 00:00:00 UTC+08:00,116.801,117.001,116.801,116.948,8589.12
08.02.2016 00:00:00 UTC+08:00,116.952,117.525,115.172,115.666,215709.48
09.02.2016 00:00:00 UTC+08:00,115.664,115.664,114.209,115.184,272925.81
