Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
01.01.2019 00:00:00 UTC+08:00,109.648,109.726,109.606,109.67,13625.03
02.01.2019 00:00:00 UTC+08:00,109.669,109.68,104.736,107.427,273287.77
03.01.2019 00:00:00 UTC+08:00,107.433,108.304,106.746,107.849,325336.52
04.01.2019 00:00:00 UTC+08:00,107.848,108.589,107.512,108.518,286367.17
06.01.2019 00:00:00 UTC+08:00,108.503,108.622,108.352,108.55,10218.91
07.01.2019 00:00:00 UTC+08:00,108.55,108.747,108.019,108.626,218632.66
08.01.2019 00:00:00 UTC+08:00,108.627,109.087,108.441,108.751,219059.29
09.01.2019 00:00:00 UTC+08:00,108.752,109.001,107.971,108.185,222133.59
10.01.2019 00:00:00 UTC+08:00,108.184,108.518,107.769,108.282,237042.53
11.01.2019 00:00:00 UTC+08:00,108.284,108.597,108.145,108.528,172754.28
13.01.2019 00:00:00 UTC+08:00,108.499,108.555,108.395,108.451,6325.81
14.01.2019 00:00:00 UTC+08:00,108.451,108.481,107.986,108.237,150474.68
15.01.2019 00:00:00 UTC+08:00,108.236,108.765,108.196,108.653,218462.65
16.01.2019 00:00:00 UTC+08:00,108.653,109.195,108.37,109.04,179536.11
17.01.2019 00:00:00 UTC+08:00,109.041,109.398,108.686,109.142,208276.66
18.01.2019 00:00:00 UTC+08:00,109.145,109.889,109.13,109.769,193050.41
20.01.2019 00:00:00 UTC+08:00,109.679,109.767,109.656,109.681,16236.52
21.01.2019 00:00:00 UTC+08:00,109.68,109.72,109.474,109.673,117444.86
22.01.2019 00:00:00 UTC+08:00,109.673,109.693,109.146,109.357,180084.19
23.01.2019 00:00:00 UTC+08:00,109.357,109.999,109.355,109.5,190272.62
24.01.2019 00:00:00 UTC+08:00,109.502,109.799,109.421,109.597,188156.54
25.01.2019 00:00:00 UTC+08:00,109.596,109.949,109.453,109.539,179537.78
27.01.2019 00:00:00 UTC+08:00,109.543,109.576,109.395,109.414,9348.4
28.01.2019 00:00:00 UTC+08:00,109.414,109.525,109.16,109.256,177059.77
29.01.2019 00:00:00 UTC+08:00,109.257,109.541,109.129,109.427,173819.63
30.01.2019 00:00:00 UTC+08:00,109.426,109.743,108.808,108.977,188069.39
31.01.2019 00:00:00 UTC+08:00,108.976,109.002,108.497,108.846,178800.62
01.02.2019 00:00:00 UTC+08:00,108.846,109.58,108.725,109.504,149957.13
03.02.2019 00:00:00 UTC+08:00,109.51,109.533,109.432,109.445,15684.73
04.02.2019 00:00:00 UTC+08:00,109.443,110.161,109.44,109.978,148842.47
05.02.2019 00:00:00 UTC+08:00,109.979,110.041,109.778,109.942,127153.73
06.02.2019 00:00:00 UTC+08:00,109.942,110.051,109.56,109.986,144129.39
07.02.2019 00:00:00 UTC+08:00,109.986,110.086,109.605,109.754,188795.14
08.02.2019 00:00:00 UTC+08:00,109.753,109.897,109.648,109.724,141488.8
10.02.2019 00:00:00 UTC+08:00,109.729,109.865,109.729,109.813,9413.84
11.02.2019 00:00:00 UTC+08:00,109.816,110.492,109.774,110.393,141604.22
12.02.2019 00:00:00 UTC+08:00,110.394,110.651,110.344,110.513,141109.97
13.02.2019 00:00:00 UTC+08:00,110.514,111.052,110.497,110.93,126167.16
14.02.2019 00:00:00 UTC+08:00,110.929,111.128,110.404,110.54,175836.42
15.02.2019 00:00:00 UTC+08:00,110.539,110.645,110.252,110.458,153334.98
17.02.2019 00:00:00 UTC+08:00,110.439,110.576,110.439,110.574,14855.96
18.02.2019 00:00:00 UTC+08:00,110.572,110.652,110.457,110.595,143662.15
