Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
02.01.2022 00:00:00 UTC+08:00,115.039,115.154,115.007,115.142,3157.95
03.01.2022 00:00:00 UTC+08:00,115.14,115.366,114.946,115.33,72963.82
04.01.2022 00:00:00 UTC+08:00,115.33,116.352,115.289,116.172,115829.26
05.01.2022 00:00:00 UTC+08:00,116.174,116.241,115.619,116.124,11073
06.01.2022 00:00:00 UTC+08:00,116.124,116.183,115.624,115.864,103411.41
07.01.2022 00:00:00 UTC+08:00,115.864,116.046,115.507,115.529,79529.84
09.01.2022 00:00:00 UTC+08:00,115.569,115.666,115.553,115.62,4496.94
10.01.2022 00:00:00 UTC+08:00,115.621,115.849,115.041,115.277,93413.3
11.01.2022 00:00:00 UTC+08:00,115.279,115.679,115.124,115.333,100913.21
12.01.2022 00:00:00 UTC+08:00,115.332,115.471,114.379,114.672,87320.73
13.01.2022 00:00:00 UTC+08:00,114.675,114.699,113.998,114.114,92878.06
14.01.2022 00:00:00 UTC+08:00,114.116,114.265,113.48,114.187,120736.52
16.01.2022 00:00:00 UTC+08:00,114.12,114.339,114.119,114.308,4411.35
17.01.2022 00:00:00 UTC+08:00,114.309,114.649,114.274,114.573,63985.93
18.01.2022 00:00:00 UTC+08:00,114.572,115.056,114.448,114.556,123944.34
19.01.2022 00:00:00 UTC+08:00,114.555,114.787,114.205,114.347,114417.63
20.01.2022 00:00:00 UTC+08:00,114.347,114.546,113.858,113.992,106311.41
21.01.2022 00:00:00 UTC+08:00,113.99,114.032,113.603,113.656,128663.94
23.01.2022 00:00:00 UTC+08:00,113.639,113.801,113.629,113.787,6359.78
24.01.2022 00:00:00 UTC+08:00,113.787,114.095,113.466,114.013,158620.97
25.01.2022 00:00:00 UTC+08:00,114.012,114.155,113.667,113.892,172033.04
26.01.2022 00:00:00 UTC+08:00,113.895,114.742,113.776,114.721,138917.88
27.01.2022 00:00:00 UTC+08:00,114.719,115.489,114.474,115.35,182932.96
28.01.2022 00:00:00 UTC+08:00,115.35,115.685,115.121,115.181,148743.16
30.01.2022 00:00:00 UTC+08:00,115.258,115.374,115.24,115.262,8362.04
31.01.2022 00:00:00 UTC+08:00,115.261,115.59,114.923,115.12,132251.14
01.02.2022 00:00:00 UTC+08:00,115.119,115.191,114.566,114.733,130813.75
02.02.2022 00:00:00 UTC+08:00,114.733,114.802,114.15,114.379,100558.83
03.02.2022 00:00:00 UTC+08:00,114.378,114.986,114.325,114.957,139789.34
04.02.2022 00:00:00 UTC+08:00,114.956,115.428,114.773,115.154,141658.08
06.02.2022 00:00:00 UTC+08:00,115.238,115.322,115.198,115.225,7344.9
07.02.2022 00:00:00 UTC+08:00,115.225,115.376,114.913,115.063,115495.62
08.02.2022 00:00:00 UTC+08:00,115.063,115.679,115.059,115.535,114186.36
09.02.2022 00:00:00 UTC+08:00,115.533,115.601,115.32,115.598,102990.11
10.02.2022 00:00:00 UTC+08:00,115.598,116.337,115.481,116.051,166408.26
11.02.2022 00:00:00 UTC+08:00,116.052,116.174,115.009,115.411,160481.03
13.02.2022 00:00:00 UTC+08:00,115.318,115.592,115.315,115.584,14842.16
14.02.2022 00:00:00 UTC+08:00,115.583,115.746,115.01,115.538,185521.32
15.02.2022 00:00:00 UTC+08:00,115.539,115.873,115.257,115.639,137896.01
16.02.2022 00:00:00 UTC+08:00,115.64,115.789,115.336,115.39,117182.66
17.02.2022 00:00:00 UTC+08:00,115.391,115.536,114.796,114.861,189045.84
18.02.2022 00:00:00 UTC+08:00,114.859,115.296,114.787,114.991,130871.37
20.02.2022 00:00:00 UTC+08:00,115.022,115.057,114.869,114.963,8602.78
21.02.2022 00:00:00 UTC+08:00,114.961,115.123,114.498,114.608,105696.85
22.02.2022 00:00:00 UTC+08:00,114.608,115.242,114.519,115.099,174988.81
23.02.2022 00:00:00 UTC+08:00,115.097,115.199,114.873,114.898,94423.8
24.02.2022 00:00:00 UTC+08:00,114.895,115.694,114.406,115.549,296847.75
25.02.2022 00:00:00 UTC+08:00,115.548,115.759,115.145,115.501,171522.22
27.02.2022 00:00:00 UTC+08:00,115.148,115.765,115.148,115.588,19065.18
28.02.2022 00:00:00 UTC+08:00,115.587,115.69,114.86,115.085,171534.86
01.03.2022 00:00:00 UTC+08:00,115.086,115.289,114.698,114.84,150039.53
02.03.2022 00:00:00 UTC+08:00,114.838,115.686,114.791,115.515,162462.74
03.03.2022 00:00:00 UTC+08:00,115.515,115.806,115.383,115.48,115436.2
04.03.2022 00:00:00 UTC+08:00,115.484,115.556,114.649,114.789,177068.4
06.03.2022 00:00:00 UTC+08:00,114.895,114.958,114.82,114.952,15218.06
07.03.2022 00:00:00 UTC+08:00,114.952,115.471,114.831,115.365,175877.43
08.03.2022 00:00:00 UTC+08:00,115.365,115.789,115.322,115.724,166721.02
09.03.2022 00:00:00 UTC+08:00,115.723,115.947,115.554,115.908,123908.41
10.03.2022 00:00:00 UTC+08:00,115.906,116.222,115.812,116.18,130583.4
11.03.2022 00:00:00 UTC+08:00,116.18,117.355,116.144,117.224,133573.35
13.03.2022 00:00:00 UTC+08:00,117.317,117.602,117.309,117.531,7096.39
14.03.2022 00:00:00 UTC+08:00,117.529,118.299,117.456,118.218,117224.08
