Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
03.01.2021 00:00:00 UTC+08:00,103.097,103.316,103.097,103.247,5385.83
04.01.2021 00:00:00 UTC+08:00,103.247,103.263,102.712,103.135,117632.75
05.01.2021 00:00:00 UTC+08:00,103.135,103.19,102.604,102.685,111323.36
06.01.2021 00:00:00 UTC+08:00,102.684,103.444,102.591,103.023,150627.68
07.01.2021 00:00:00 UTC+08:00,103.021,103.957,102.951,103.801,124246.99
08.01.2021 00:00:00 UTC+08:00,103.801,104.092,103.603,103.885,134179.8
10.01.2021 00:00:00 UTC+08:00,103.882,104.097,103.881,104.085,5264.87
11.01.2021 00:00:00 UTC+08:00,104.086,104.397,104.033,104.14,100756.4
12.01.2021 00:00:00 UTC+08:00,104.14,104.332,103.72,103.747,100431.86
13.01.2021 00:00:00 UTC+08:00,103.749,103.997,103.525,103.826,101506.6
14.01.2021 00:00:00 UTC+08:00,103.827,104.196,103.563,103.84,113987.38
15.01.2021 00:00:00 UTC+08:00,103.838,103.912,103.616,103.75,87216.21
17.01.2021 00:00:00 UTC+08:00,103.817,103.926,103.813,103.916,3840.36
18.01.2021 00:00:00 UTC+08:00,103.916,103.931,103.637,103.705,92270.25
19.01.2021 00:00:00 UTC+08:00,103.705,104.085,103.652,103.899,102192.04
20.01.2021 00:00:00 UTC+08:00,103.898,103.929,103.445,103.558,89876.95
21.01.2021 00:00:00 UTC+08:00,103.557,103.668,103.327,103.51,106023.3
22.01.2021 00:00:00 UTC+08:00,103.509,103.887,103.492,103.727,81561.19
24.01.2021 00:00:00 UTC+08:00,103.781,103.825,103.756,103.789,3524.27
25.01.2021 00:00:00 UTC+08:00,103.789,103.936,103.672,103.761,80688.63
26.01.2021 00:00:00 UTC+08:00,103.763,103.828,103.554,103.601,66282.21
27.01.2021 00:00:00 UTC+08:00,103.599,104.2,103.586,104.142,90484.81
28.01.2021 00:00:00 UTC+08:00,104.142,104.462,104.134,104.303,86014.57
29.01.2021 00:00:00 UTC+08:00,104.301,104.94,104.285,104.638,94403.64
31.01.2021 00:00:00 UTC+08:00,104.776,104.815,104.679,104.717,6051.03
01.02.2021 00:00:00 UTC+08:00,104.715,105.035,104.608,104.883,67429.84
02.02.2021 00:00:00 UTC+08:00,104.883,105.173,104.828,105.031,76003.31
03.02.2021 00:00:00 UTC+08:00,105.03,105.104,104.922,104.996,55346.18
04.02.2021 00:00:00 UTC+08:00,104.996,105.644,104.975,105.575,67565.83
05.02.2021 00:00:00 UTC+08:00,105.574,105.769,105.319,105.319,80142.55
07.02.2021 00:00:00 UTC+08:00,105.316,105.432,105.316,105.395,9188.55
08.02.2021 00:00:00 UTC+08:00,105.395,105.671,105.15,105.214,71209.18
09.02.2021 00:00:00 UTC+08:00,105.212,105.228,104.497,104.584,82407.35
10.02.2021 00:00:00 UTC+08:00,104.583,104.842,104.408,104.618,80688.23
11.02.2021 00:00:00 UTC+08:00,104.618,104.804,104.549,104.75,53467.91
12.02.2021 00:00:00 UTC+08:00,104.751,105.181,104.737,104.909,59735.47
14.02.2021 00:00:00 UTC+08:00,104.891,105.083,104.891,105.067,9947.18
15.02.2021 00:00:00 UTC+08:00,105.065,105.417,104.979,105.371,58246.2
16.02.2021 00:00:00 UTC+08:00,105.372,106.224,105.179,106.117,81950.52
17.02.2021 00:00:00 UTC+08:00,106.117,106.213,105.777,105.852,91125.99
18.02.2021 00:00:00 UTC+08:00,105.854,105.924,105.598,105.654,70786.08
19.02.2021 00:00:00 UTC+08:00,105.653,105.742,105.24,105.386,70728.71
21.02.2021 00:00:00 UTC+08:00,105.383,105.622,105.382,105.536,4371.01
22.02.2021 00:00:00 UTC+08:00,105.534,105.845,104.924,105.007,83809.59
23.02.2021 00:00:00 UTC+08:00,105.007,105.429,104.922,105.296,73019.23
24.02.2021 00:00:00 UTC+08:00,105.296,106.104,105.268,105.955,104043.41
25.02.2021 00:00:00 UTC+08:00,105.958,106.413,105.844,106.391,140123.88
26.02.2021 00:00:00 UTC+08:00,106.39,106.692,105.848,106.509,155139.21
28.02.2021 00:00:00 UTC+08:00,106.481,106.588,106.47,106.481,4323.59
01.03.2021 00:00:00 UTC+08:00,106.48,106.888,106.364,106.845,93080.56
02.03.2021 00:00:00 UTC+08:00,106.844,106.957,106.673,106.759,79678.55
03.03.2021 00:00:00 UTC+08:00,106.758,107.153,106.699,107.069,95507.83
04.03.2021 00:00:00 UTC+08:00,107.069,108.012,106.965,107.949,120441.62
05.03.2021 00:00:00 UTC+08:00,107.949,108.644,107.819,108.329,147774.56
07.03.2021 00:00:00 UTC+08:00,108.313,108.475,108.308,108.404,8135.8
08.03.2021 00:00:00 UTC+08:00,108.404,108.952,108.309,108.926,110876.14
09.03.2021 00:00:00 UTC+08:00,108.927,109.233,108.415,108.577,132809.98
10.03.2021 00:00:00 UTC+08:00,108.576,108.919,108.337,108.45,116177.3
