Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
01.01.2018 00:00:00 UTC+08:00,112.594,112.789,112.57,112.773,11495.47
02.01.2018 00:00:00 UTC+08:00,112.775,112.79,112.055,112.254,111794.77
03.01.2018 00:00:00 UTC+08:00,112.253,112.623,112.19,112.607,105259.17
04.01.2018 00:00:00 UTC+08:00,112.61,112.864,112.488,112.801,119401.84
05.01.2018 00:00:00 UTC+08:00,112.801,113.308,112.722,113.027,117241.65
07.01.2018 00:00:00 UTC+08:00,113.131,113.18,113.01,113.159,8579.92
08.01.2018 00:00:00 UTC+08:00,113.16,113.386,112.881,113.148,98520.31
09.01.2018 00:00:00 UTC+08:00,113.147,113.179,112.365,112.777,127799.5
10.01.2018 00:00:00 UTC+08:00,112.777,112.784,111.269,111.46,159636.81
11.01.2018 00:00:00 UTC+08:00,111.459,111.875,111.044,111.286,151845.38
12.01.2018 00:00:00 UTC+08:00,111.286,111.694,110.913,111.018,157907.13
14.01.2018 00:00:00 UTC+08:00,111.076,111.166,110.976,111.141,8786.95
15.01.2018 00:00:00 UTC+08:00,111.141,111.183,110.327,110.618,142062.28
16.01.2018 00:00:00 UTC+08:00,110.616,110.981,110.246,110.393,161100.47
17.01.2018 00:00:00 UTC+08:00,110.395,111.392,110.191,111.354,179935.44
18.01.2018 00:00:00 UTC+08:00,111.353,111.482,110.691,111.04,160757.96
19.01.2018 00:00:00 UTC+08:00,111.037,111.129,110.491,110.817,157859.6
21.01.2018 00:00:00 UTC+08:00,110.576,110.806,110.501,110.687,11972.71
22.01.2018 00:00:00 UTC+08:00,110.689,111.223,110.593,110.981,139305.83
23.01.2018 00:00:00 UTC+08:00,110.982,111.175,110.063,110.124,170996.7
24.01.2018 00:00:00 UTC+08:00,110.124,110.297,108.966,109.32,195810.38
25.01.2018 00:00:00 UTC+08:00,109.324,109.718,108.499,109.671,249468.12
26.01.2018 00:00:00 UTC+08:00,109.674,109.771,108.283,108.606,227393.09
28.01.2018 00:00:00 UTC+08:00,108.699,108.783,108.592,108.606,16200.29
29.01.2018 00:00:00 UTC+08:00,108.608,109.202,108.51,108.943,188017.6
30.01.2018 00:00:00 UTC+08:00,108.944,109.202,108.412,108.741,220570.79
31.01.2018 00:00:00 UTC+08:00,108.748,109.444,108.596,109.194,212958.72
01.02.2018 00:00:00 UTC+08:00,109.193,109.749,109.094,109.397,199249.67
02.02.2018 00:00:00 UTC+08:00,109.398,110.482,109.28,110.137,223364.54
04.02.2018 00:00:00 UTC+08:00,110.195,110.289,110.021,110.036,32787.02
05.02.2018 00:00:00 UTC+08:00,110.034,110.264,108.99,109.053,239134.61
06.02.2018 00:00:00 UTC+08:00,109.051,109.71,108.455,109.627,355209.45
07.02.2018 00:00:00 UTC+08:00,109.631,109.701,108.919,109.154,249920.87
08.02.2018 00:00:00 UTC+08:00,109.154,109.782,108.492,108.555,289175.35
09.02.2018 00:00:00 UTC+08:00,108.558,109.309,108.045,108.782,311321.82
11.02.2018 00:00:00 UTC+08:00,108.857,108.889,108.702,108.8,8995.3
12.02.2018 00:00:00 UTC+08:00,108.801,108.809,108.436,108.719,193988.54
13.02.2018 00:00:00 UTC+08:00,108.718,108.767,107.409,107.766,216881.71
14.02.2018 00:00:00 UTC+08:00,107.764,107.901,106.42,106.548,253727.99
15.02.2018 00:00:00 UTC+08:00,106.545,106.888,106.023,106.104,231387.47
16.02.2018 00:00:00 UTC+08:00,106.104,106.398,105.55,106.206,207664.12
18.02.2018 00:00:00 UTC+08:00,106.316,106.366,106.135,106.267,11970.89
19.02.2018 00:00:00 UTC+08:00,106.268,106.737,106.095,106.717,132436.05
20.02.2018 00:00:00 UTC+08:00,106.719,107.394,106.642,107.393,170819.86
21.02.2018 00:00:00 UTC+08:00,107.393,107.902,107.286,107.577,199711.74
22.02.2018 00:00:00 UTC+08:00,107.578,107.762,106.595,106.838,250904.57
23.02.2018 00:00:00 UTC+08:00,106.838,107.132,106.512,106.866,142473.92
25.02.2018 00:00:00 UTC+08:00,107.181,107.181,106.909,107.076,12607.26
26.02.2018 00:00:00 UTC+08:00,107.075,107.088,106.375,107.069,165513.84
27.02.2018 00:00:00 UTC+08:00,107.069,107.674,106.785,107.427,174466.72
28.02.2018 00:00:00 UTC+08:00,107.429,107.526,106.565,106.634,165370.99
01.03.2018 00:00:00 UTC+08:00,106.635,107.202,106.074,106.17,221053.4
02.03.2018 00:00:00 UTC+08:00,106.17,106.293,105.25,105.718,200340.83
04.03.2018 00:00:00 UTC+08:00,105.48,105.675,105.435,105.563,13135.54
05.03.2018 00:00:00 UTC+08:00,105.564,106.279,105.349,106.256,190646.13
06.03.2018 00:00:00 UTC+08:00,106.257,106.461,105.454,105.578,197302.61
07.03.2018 00:00:00 UTC+08:00,105.579,106.225,105.505,106.181,203152.32
08.03.2018 00:00:00 UTC+08:00,106.179,106.438,105.891,106.42,169905.91
09.03.2018 00:00:00 UTC+08:00,106.415,107.049,106.35,106.806,193522.43
11.03.2018 00:00:00 UTC+08:00,106.68,106.97,106.613,106.901,6728.46
12.03.2018 00:00:00 UTC+08:00,106.901,106.972,106.26,106.288,178938.46
13.03.2018 00:00:00 UTC+08:00,106.294,107.291,106.252,106.527,185093.77
14.03.2018 00:00:00 UTC+08:00,106.534,106.748,106.065,106.162,167345.43
15.03.2018 00:00:00 UTC+08:00,106.161,106.412,105.784,106.309,163122.72
16.03.2018 00:00:00 UTC+08:00,106.311,106.333,105.602,105.98,131744.68
18.03.2018 00:00:00 UTC+08:00,105.91,106.069,105.901,105.958,7242.9
19.03.2018 00:00:00 UTC+08:00,105.959,106.307,105.678,106.014,175328.02
20.03.2018 00:00:00 UTC+08:00,106.015,106.604,105.984,106.476,164483.44
21.03.2018 00:00:00 UTC+08:00,106.475,106.639,105.88,105.939,154185.81
22.03.2018 00:00:00 UTC+08:00,105.94,105.968,104.639,104.958,253153.71
23.03.2018 00:00:00 UTC+08:00,104.961,105.286,104.658,104.721,227880.88
25.03.2018 00:00:00 UTC+08:00,104.639,104.868,104.63,104.84,7782.53
26.03.2018 00:00:00 UTC+08:00,104.836,105.545,104.726,105.545,190135.68
27.03.2018 00:00:00 UTC+08:00,105.546,105.903,105.324,105.477,223590.28
28.03.2018 00:00:00 UTC+08:00,105.48,107.009,105.425,106.804,230821.01
29.03.2018 00:00:00 UTC+08:00,106.806,106.932,106.268,106.488,178041.58
30.03.2018 00:00:00 UTC+08:00,106.487,106.513,106.122,106.249,95609.19
01.04.2018 00:00:00 UTC+08:00,106.167,106.405,106.167,106.318,8196.68
02.04.2018 00:00:00 UTC+08:00,106.32,106.448,105.657,105.795,137907.26
03.04.2018 00:00:00 UTC+08:00,105.796,106.655,105.692,106.441,183263.76
04.04.2018 00:00:00 UTC+08:00,106.445,106.846,105.99,106.785,196936.66
05.04.2018 00:00:00 UTC+08:00,106.789,107.491,106.71,107.106,240063.51
06.04.2018 00:00:00 UTC+08:00,107.105,107.46,106.775,106.902,190162.27
08.04.2018 00:00:00 UTC+08:00,106.931,107.039,106.802,106.958,10187.08
09.04.2018 00:00:00 UTC+08:00,106.956,107.203,106.616,106.755,189435.03
10.04.2018 00:00:00 UTC+08:00,106.753,107.397,106.618,107.131,183644.36
11.04.2018 00:00:00 UTC+08:00,107.13,107.151,106.65,106.825,154426.32
12.04.2018 00:00:00 UTC+08:00,106.826,107.429,106.7,107.252,143646.28
13.04.2018 00:00:00 UTC+08:00,107.254,107.778,107.251,107.335,121368.78
15.04.2018 00:00:00 UTC+08:00,107.481,107.608,107.442,107.521,5789.71
16.04.2018 00:00:00 UTC+08:00,107.521,107.521,107.035,107.053,114618.35
17.04.2018 00:00:00 UTC+08:00,107.053,107.211,106.883,107.021,115086.66
18.04.2018 00:00:00 UTC+08:00,107.021,107.383,107.008,107.355,112974.41
19.04.2018 00:00:00 UTC+08:00,107.357,107.515,107.239,107.444,126837.07
20.04.2018 00:00:00 UTC+08:00,107.443,107.855,107.394,107.632,117911.66
22.04.2018 00:00:00 UTC+08:00,107.765,107.887,107.659,107.88,10758.04
23.04.2018 00:00:00 UTC+08:00,107.877,108.789,107.731,108.772,117144.21
24.04.2018 00:00:00 UTC+08:00,108.772,109.199,108.542,108.802,147440.95
25.04.2018 00:00:00 UTC+08:00,108.802,109.469,108.788,109.374,151760.34
26.04.2018 00:00:00 UTC+08:00,109.377,109.455,109.066,109.302,138564.72
27.04.2018 00:00:00 UTC+08:00,109.302,109.536,108.964,109.045,122525.68
29.04.2018 00:00:00 UTC+08:00,109.057,109.179,109.017,109.094,4652.54
30.04.2018 00:00:00 UTC+08:00,109.093,109.452,109.02,109.312,94475.34
01.05.2018 00:00:00 UTC+08:00,109.309,109.918,109.255,109.872,101128.78
02.05.2018 00:00:00 UTC+08:00,109.87,110.036,109.595,109.839,121502.92
03.05.2018 00:00:00 UTC+08:00,109.841,109.853,108.929,109.104,125151.83
04.05.2018 00:00:00 UTC+08:00,109.104,109.272,108.648,109.101,119083.03
06.05.2018 00:00:00 UTC+08:00,109.105,109.199,109.04,109.14,3452.35
07.05.2018 00:00:00 UTC+08:00,109.14,109.397,108.757,108.946,87441.91
08.05.2018 00:00:00 UTC+08:00,108.944,109.35,108.829,109.035,115344.26
09.05.2018 00:00:00 UTC+08:00,109.034,109.87,109.001,109.842,132547.5
10.05.2018 00:00:00 UTC+08:00,109.843,110.017,109.316,109.452,153317.16
11.05.2018 00:00:00 UTC+08:00,109.455,109.567,109.152,109.369,101588.55
13.05.2018 00:00:00 UTC+08:00,109.308,109.404,109.266,109.314,8309.7
14.05.2018 00:00:00 UTC+08:00,109.318,109.746,109.208,109.73,100674.4
15.05.2018 00:00:00 UTC+08:00,109.731,110.454,109.66,110.293,148858.07
16.05.2018 00:00:00 UTC+08:00,110.296,110.404,110.039,110.367,138894.99
17.05.2018 00:00:00 UTC+08:00,110.367,110.86,110.073,110.846,136170.51
18.05.2018 00:00:00 UTC+08:00,110.851,111.081,110.609,110.748,119833.19
20.05.2018 00:00:00 UTC+08:00,110.867,110.903,110.821,110.892,5574.96
21.05.2018 00:00:00 UTC+08:00,110.894,111.395,110.891,110.998,115028.25
22.05.2018 00:00:00 UTC+08:00,110.997,111.185,110.723,110.736,120395.07
23.05.2018 00:00:00 UTC+08:00,110.736,110.876,109.557,109.877,188249.49
24.05.2018 00:00:00 UTC+08:00,109.879,109.932,108.955,109.315,167978.69
25.05.2018 00:00:00 UTC+08:00,109.314,109.741,109.121,109.377,139360.5
27.05.2018 00:00:00 UTC+08:00,109.744,109.832,109.589,109.613,7600.29
28.05.2018 00:00:00 UTC+08:00,109.613,109.748,109.234,109.401,119228.77
29.05.2018 00:00:00 UTC+08:00,109.401,109.401,108.111,108.406,239084.84
30.05.2018 00:00:00 UTC+08:00,108.408,109.073,108.382,108.726,193469.93
31.05.2018 00:00:00 UTC+08:00,108.728,109.001,108.388,108.783,176824.9
01.06.2018 00:00:00 UTC+08:00,108.786,109.733,108.733,109.508,142923.91
03.06.2018 00:00:00 UTC+08:00,109.455,109.619,109.447,109.607,3505.29
04.06.2018 00:00:00 UTC+08:00,109.607,109.992,109.372,109.966,126456.22
05.06.2018 00:00:00 UTC+08:00,109.967,110.004,109.472,109.885,159349.37
06.06.2018 00:00:00 UTC+08:00,109.885,110.266,109.794,110.135,136009.46
07.06.2018 00:00:00 UTC+08:00,110.134,110.22,109.476,109.717,158027.85
08.06.2018 00:00:00 UTC+08:00,109.72,109.851,109.198,109.529,146595.83
10.06.2018 00:00:00 UTC+08:00,109.274,109.486,109.273,109.46,6341.37
11.06.2018 00:00:00 UTC+08:00,109.459,110.427,109.39,110.391,122120.34
12.06.2018 00:00:00 UTC+08:00,110.394,110.541,110.099,110.451,144801.17
13.06.2018 00:00:00 UTC+08:00,110.451,110.846,110.082,110.239,116522.9
14.06.2018 00:00:00 UTC+08:00,110.237,110.693,109.917,110.637,131009.57
15.06.2018 00:00:00 UTC+08:00,110.638,110.904,110.387,110.632,128541.51
17.06.2018 00:00:00 UTC+08:00,110.659,110.737,110.579,110.641,7340.75
18.06.2018 00:00:00 UTC+08:00,110.64,110.666,110.103,110.132,109855.9
19.06.2018 00:00:00 UTC+08:00,110.134,110.213,109.55,110.088,169822.83
20.06.2018 00:00:00 UTC+08:00,110.088,110.451,109.853,110.38,131563.79
21.06.2018 00:00:00 UTC+08:00,110.379,110.756,109.84,109.952,171070.49
22.06.2018 00:00:00 UTC+08:00,109.954,110.217,109.802,109.974,122366.09
24.06.2018 00:00:00 UTC+08:00,109.828,110.016,109.816,109.944,8040.77
25.06.2018 00:00:00 UTC+08:00,109.944,110.042,109.367,109.637,160016.78
26.06.2018 00:00:00 UTC+08:00,109.639,110.214,109.37,110.124,168018.52
27.06.2018 00:00:00 UTC+08:00,110.125,110.489,109.685,110.22,245147.47
28.06.2018 00:00:00 UTC+08:00,110.22,110.649,109.966,110.488,171513.37
29.06.2018 00:00:00 UTC+08:00,110.489,110.942,110.373,110.671,162582.11
01.07.2018 00:00:00 UTC+08:00,110.561,110.821,110.561,110.731,14850.79
02.07.2018 00:00:00 UTC+08:00,110.737,111.062,110.603,110.879,153404.61
03.07.2018 00:00:00 UTC+08:00,110.882,111.133,110.394,110.414,161903.13
04.07.2018 00:00:00 UTC+08:00,110.413,110.556,110.278,110.504,136137.54
05.07.2018 00:00:00 UTC+08:00,110.504,110.727,110.288,110.569,160495.89
