Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
01.01.2025 00:00:00 UTC+08:00,157.151,157.776,157.151,157.7,14713.51
02.01.2025 00:00:00 UTC+08:00,157.7,157.849,156.435,157.353,567278.93
03.01.2025 00:00:00 UTC+08:00,157.359,157.49,156.87,157.242,372478.6
05.01.2025 00:00:00 UTC+08:00,157.18,157.527,157.139,157.504,10887.54
06.01.2025 00:00:00 UTC+08:00,157.505,157.959,156.24,157.737,535150.41
07.01.2025 00:00:00 UTC+08:00,157.737,158.423,157.362,158.223,510617.75
08.01.2025 00:00:00 UTC+08:00,158.22,158.55,157.898,158.188,530856.19
09.01.2025 00:00:00 UTC+08:00,158.186,158.324,157.574,158.041,364798.86
10.01.2025 00:00:00 UTC+08:00,158.04,158.877,157.222,157.657,570303.26
12.01.2025 00:00:00 UTC+08:00,157.596,157.93,157.596,157.909,8508.37
13.01.2025 00:00:00 UTC+08:00,157.909,157.964,156.91,157.305,529272.53
14.01.2025 00:00:00 UTC+08:00,157.309,158.195,157.032,158.045,541415.68
15.01.2025 00:00:00 UTC+08:00,158.053,158.082,155.935,156.219,530129.75
16.01.2025 00:00:00 UTC+08:00,156.218,156.528,155.086,155.201,531637.07
17.01.2025 00:00:00 UTC+08:00,155.363,156.372,154.977,156.241,466189.67
19.01.2025 00:00:00 UTC+08:00,156.187,156.58,156.154,156.306,10425.96
20.01.2025 00:00:00 UTC+08:00,156.313,156.46,155.159,155.271,344103.38
21.01.2025 00:00:00 UTC+08:00,155.272,156.232,154.772,155.74,260767.12
22.01.2025 00:00:00 UTC+08:00,155.74,156.706,155.35,156.431,195206.29
23.01.2025 00:00:00 UTC+08:00,156.431,156.751,155.742,155.991,195818.83
24.01.2025 00:00:00 UTC+08:00,156.133,156.575,154.837,155.92,282543.42
26.01.2025 00:00:00 UTC+08:00,155.675,155.831,155.569,155.72,9511.85
27.01.2025 00:00:00 UTC+08:00,155.719,156.244,153.71,154.914,384340.57
28.01.2025 00:00:00 UTC+08:00,154.912,155.976,154.793,155.56,263447.76
29.01.2025 00:00:00 UTC+08:00,155.563,155.787,154.937,155.176,264042.75
30.01.2025 00:00:00 UTC+08:00,155.174,155.203,153.788,154.086,291138.24
31.01.2025 00:00:00 UTC+08:00,154.088,155.217,153.91,155.182,320253.8
02.02.2025 00:00:00 UTC+08:00,154.771,155.43,154.755,155.344,23050.56
03.02.2025 00:00:00 UTC+08:00,155.358,155.882,154.004,155.268,375267.63
04.02.2025 00:00:00 UTC+08:00,155.263,155.521,154.03,154.348,241189.02
05.02.2025 00:00:00 UTC+08:00,154.132,154.355,152.109,152.65,283547.99
06.02.2025 00:00:00 UTC+08:00,152.648,152.897,151.152,151.166,254718.47
07.02.2025 00:00:00 UTC+08:00,151.167,152.421,150.927,151.377,327644.75
09.02.2025 00:00:00 UTC+08:00,151.198,151.88,151.156,151.872,11711.35
10.02.2025 00:00:00 UTC+08:00,151.875,152.536,151.567,151.788,213849.21
11.02.2025 00:00:00 UTC+08:00,151.786,152.767,151.647,152.765,227401.46
12.02.2025 00:00:00 UTC+08:00,152.765,154.801,152.726,154.232,298783.8
13.02.2025 00:00:00 UTC+08:00,154.23,154.664,152.688,152.985,301418.78
14.02.2025 00:00:00 UTC+08:00,152.996,153.097,152.023,152.254,235085.22
16.02.2025 00:00:00 UTC+08:00,152.2,152.391,151.965,152.006,7493.55
17.02.2025 00:00:00 UTC+08:00,152.004,152.113,151.23,151.436,167222.68
18.02.2025 00:00:00 UTC+08:00,151.435,152.219,151.413,151.92,199012.59
19.02.2025 00:00:00 UTC+08:00,151.92,152.306,151.119,151.382,243490.08
20.02.2025 00:00:00 UTC+08:00,151.218,151.232,149.274,149.478,272936.76
21.02.2025 00:00:00 UTC+08:00,149.478,150.732,148.922,149.262,277719.78
23.02.2025 00:00:00 UTC+08:00,149.175,149.403,149.09,149.399,8188.22
24.02.2025 00:00:00 UTC+08:00,149.401,149.91,148.841,149.908,303935.93
25.02.2025 00:00:00 UTC+08:00,149.909,150.298,148.562,149.049,338434.33
26.02.2025 00:00:00 UTC+08:00,149.047,149.884,148.618,148.876,303892.71
27.02.2025 00:00:00 UTC+08:00,148.877,150.161,148.781,149.756,340941.96
28.02.2025 00:00:00 UTC+08:00,150.086,150.987,149.098,150.545,366284.71
02.03.2025 00:00:00 UTC+08:00,150.644,151.019,150.632,150.806,10126.23
03.03.2025 00:00:00 UTC+08:00,150.807,151.301,149.097,149.306,347601.3
04.03.2025 00:00:00 UTC+08:00,149.317,149.97,148.096,149.827,502993.71
05.03.2025 00:00:00 UTC+08:00,149.824,150.182,148.392,148.882,464667.71
06.03.2025 00:00:00 UTC+08:00,148.88,149.331,147.308,148.145,451672.88
07.03.2025 00:00:00 UTC+08:00,148.146,148.198,146.944,148.018,405524.82
09.03.2025 00:00:00 UTC+08:00,147.908,147.946,147.386,147.585,21098.55
10.03.2025 00:00:00 UTC+08:00,147.584,147.79,146.628,147.076,407212.76
11.03.2025 00:00:00 UTC+08:00,147.076,148.118,146.538,148.049,479257.02
12.03.2025 00:00:00 UTC+08:00,148.048,149.194,147.844,148.29,318753.65
13.03.2025 00:00:00 UTC+08:00,148.294,148.37,147.411,147.936,289611.3
14.03.2025 00:00:00 UTC+08:00,147.922,149.02,147.846,148.606,235273.07
16.03.2025 00:00:00 UTC+08:00,148.753,148.839,148.46,148.602,13611.34
17.03.2025 00:00:00 UTC+08:00,148.605,149.396,148.26,149.395,278763.38
18.03.2025 00:00:00 UTC+08:00,149.394,149.934,149.094,149.438,237199.04
19.03.2025 00:00:00 UTC+08:00,149.439,150.146,148.456,148.456,252431.76
20.03.2025 00:00:00 UTC+08:00,148.456,148.959,148.178,148.619,225351.47
21.03.2025 00:00:00 UTC+08:00,148.621,149.66,148.587,149.269,238267.3
23.03.2025 00:00:00 UTC+08:00,149.329,149.688,149.329,149.66,11636.2
24.03.2025 00:00:00 UTC+08:00,149.664,150.859,149.454,150.777,205151.63
25.03.2025 00:00:00 UTC+08:00,150.784,150.942,149.546,149.941,186864.23
26.03.2025 00:00:00 UTC+08:00,149.939,150.743,149.838,150.472,241359.14
27.03.2025 00:00:00 UTC+08:00,150.47,151.156,150.058,150.85,232588.96
28.03.2025 00:00:00 UTC+08:00,150.849,151.208,149.682,149.818,232318.05
30.03.2025 00:00:00 UTC+08:00,149.721,149.796,149.302,149.617,16691.73
31.03.2025 00:00:00 UTC+08:00,149.617,150.264,148.698,149.946,354472.49
01.04.2025 00:00:00 UTC+08:00,149.946,149.99,148.97,149.75,344895.04
