Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
01.01.2024 00:00:00 UTC+08:00,140.903,141.134,140.822,141.118,6968.66
02.01.2024 00:00:00 UTC+08:00,141.117,142.22,141.102,142.181,389357.86
03.01.2024 00:00:00 UTC+08:00,142.179,143.738,141.862,143.003,434438.74
04.01.2024 00:00:00 UTC+08:00,143.001,144.856,142.859,144.779,44781
05.01.2024 00:00:00 UTC+08:00,144.78,145.983,143.811,144.713,501260.39
07.01.2024 00:00:00 UTC+08:00,144.693,144.925,144.567,144.726,7512.53
08.01.2024 00:00:00 UTC+08:00,144.727,144.803,143.667,144.23,398551.91
09.01.2024 00:00:00 UTC+08:00,144.228,144.628,143.427,144.439,448867.68
10.01.2024 00:00:00 UTC+08:00,144.438,145.837,144.422,145.732,405345.41
11.01.2024 00:00:00 UTC+08:00,145.732,146.42,144.948,145.106,498914.12
12.01.2024 00:00:00 UTC+08:00,145.104,145.572,144.356,144.914,463653.1
14.01.2024 00:00:00 UTC+08:00,145.064,145.179,144.892,145.158,6914.38
15.01.2024 00:00:00 UTC+08:00,145.155,145.947,144.94,145.802,275701.93
16.01.2024 00:00:00 UTC+08:00,145.799,147.315,145.591,147.254,561472.65
17.01.2024 00:00:00 UTC+08:00,147.253,148.529,147.104,148.141,542716.49
18.01.2024 00:00:00 UTC+08:00,148.14,148.306,147.661,148.13,505375.99
19.01.2024 00:00:00 UTC+08:00,148.131,148.811,147.844,148.171,431963.01
21.01.2024 00:00:00 UTC+08:00,148.347,148.367,148.087,148.13,7897.33
22.01.2024 00:00:00 UTC+08:00,148.131,148.308,147.622,148.151,421175.13
23.01.2024 00:00:00 UTC+08:00,148.15,148.701,146.989,148.252,414899.57
24.01.2024 00:00:00 UTC+08:00,148.242,148.268,146.654,147.595,502027.68
25.01.2024 00:00:00 UTC+08:00,147.593,147.964,147.087,147.729,435948.69
26.01.2024 00:00:00 UTC+08:00,147.727,148.239,147.416,148.213,403742.66
28.01.2024 00:00:00 UTC+08:00,148.173,148.237,148.031,148.188,11441.37
29.01.2024 00:00:00 UTC+08:00,148.184,148.341,147.258,147.493,289382.14
30.01.2024 00:00:00 UTC+08:00,147.495,147.931,147.102,147.344,396052.35
31.01.2024 00:00:00 UTC+08:00,147.343,147.901,146.011,147.014,564462.87
01.02.2024 00:00:00 UTC+08:00,147.013,147.119,145.901,146.467,517592.87
02.02.2024 00:00:00 UTC+08:00,146.467,148.588,146.247,148.407,470419.03
04.02.2024 00:00:00 UTC+08:00,148.474,148.68,148.419,148.52,13902.66
05.02.2024 00:00:00 UTC+08:00,148.515,148.898,148.273,148.672,459864.83
06.02.2024 00:00:00 UTC+08:00,148.674,148.792,147.75,147.826,465372.33
07.02.2024 00:00:00 UTC+08:00,147.825,148.264,147.622,148.093,474652.09
08.02.2024 00:00:00 UTC+08:00,148.092,149.484,147.937,149.267,512987.15
09.02.2024 00:00:00 UTC+08:00,149.269,149.58,149.014,149.313,424638.44
11.02.2024 00:00:00 UTC+08:00,149.346,149.352,149.084,149.185,12582.17
12.02.2024 00:00:00 UTC+08:00,149.187,149.482,148.93,149.411,381128.23
13.02.2024 00:00:00 UTC+08:00,149.413,150.889,149.256,150.731,498110.02
14.02.2024 00:00:00 UTC+08:00,150.731,150.786,150.348,150.563,485464.69
15.02.2024 00:00:00 UTC+08:00,150.559,150.56,149.539,149.965,398795.47
16.02.2024 00:00:00 UTC+08:00,149.964,150.654,149.93,150.232,431246.9
18.02.2024 00:00:00 UTC+08:00,150.152,150.266,150.043,150.155,10583.91
19.02.2024 00:00:00 UTC+08:00,150.154,150.307,149.879,150.277,242055.09
20.02.2024 00:00:00 UTC+08:00,150.277,150.443,149.689,149.973,474598.31
21.02.2024 00:00:00 UTC+08:00,149.973,150.398,149.856,150.349,406365.99
22.02.2024 00:00:00 UTC+08:00,150.346,150.692,150.02,150.481,414097.68
23.02.2024 00:00:00 UTC+08:00,150.479,150.772,150.295,150.539,317679.62
25.02.2024 00:00:00 UTC+08:00,150.552,150.572,150.43,150.504,8000.16
26.02.2024 00:00:00 UTC+08:00,150.505,150.843,150.297,150.58,331028.96
27.02.2024 00:00:00 UTC+08:00,150.578,150.616,150.079,150.521,275196.42
28.02.2024 00:00:00 UTC+08:00,150.519,150.847,150.376,150.666,358125.14
29.02.2024 00:00:00 UTC+08:00,150.657,150.657,149.211,150.073,429812.85
01.03.2024 00:00:00 UTC+08:00,150.074,150.728,150.058,150.161,376359.71
03.03.2024 00:00:00 UTC+08:00,150.055,150.18,150.023,150.134,7032.65
04.03.2024 00:00:00 UTC+08:00,150.133,150.583,149.843,150.46,216606.66
05.03.2024 00:00:00 UTC+08:00,150.462,150.549,149.707,150.057,311351.19
06.03.2024 00:00:00 UTC+08:00,150.057,150.088,149.096,149.27,192729.42
07.03.2024 00:00:00 UTC+08:00,149.265,149.266,147.589,147.869,289725.27
08.03.2024 00:00:00 UTC+08:00,147.867,148.122,146.485,147.095,259774.22
10.03.2024 00:00:00 UTC+08:00,147.17,147.222,146.715,146.805,13324.86
11.03.2024 00:00:00 UTC+08:00,146.805,147.151,146.489,146.741,298134.42
