Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
01.01.2020 00:00:00 UTC+08:00,108.786,108.791,108.608,108.727,4479.89
02.01.2020 00:00:00 UTC+08:00,108.724,108.866,108.213,108.546,197264.25
03.01.2020 00:00:00 UTC+08:00,108.546,108.565,107.843,108.151,166306.7
05.01.2020 00:00:00 UTC+08:00,107.903,107.982,107.775,107.971,13752.26
06.01.2020 00:00:00 UTC+08:00,107.972,108.509,107.915,108.416,134569.71
07.01.2020 00:00:00 UTC+08:00,108.416,108.631,107.83,107.999,147318.06
08.01.2020 00:00:00 UTC+08:00,108,109.245,107.653,109.04,230591.57
09.01.2020 00:00:00 UTC+08:00,109.04,109.584,109.033,109.497,133616.44
10.01.2020 00:00:00 UTC+08:00,109.499,109.691,109.434,109.482,107432.98
12.01.2020 00:00:00 UTC+08:00,109.569,109.595,109.513,109.555,8775.83
13.01.2020 00:00:00 UTC+08:00,109.554,110.032,109.536,110.012,77601.26
14.01.2020 00:00:00 UTC+08:00,110.013,110.216,109.819,109.856,117128.88
15.01.2020 00:00:00 UTC+08:00,109.856,110.002,109.789,109.886,116379.35
16.01.2020 00:00:00 UTC+08:00,109.888,110.239,109.876,110.183,91875.77
17.01.2020 00:00:00 UTC+08:00,110.183,110.292,110.05,110.199,75716.45
19.01.2020 00:00:00 UTC+08:00,110.101,110.207,110.091,110.189,8972.76
20.01.2020 00:00:00 UTC+08:00,110.188,110.219,110.114,110.177,56619.62
21.01.2020 00:00:00 UTC+08:00,110.179,110.224,109.763,109.914,109433.91
22.01.2020 00:00:00 UTC+08:00,109.914,110.1,109.664,109.739,89075.78
23.01.2020 00:00:00 UTC+08:00,109.739,109.767,109.269,109.569,149699.56
24.01.2020 00:00:00 UTC+08:00,109.57,109.654,109.174,109.294,103709.19
26.01.2020 00:00:00 UTC+08:00,108.929,109.049,108.734,108.802,19340.71
27.01.2020 00:00:00 UTC+08:00,108.803,109.138,108.796,108.934,153255.94
28.01.2020 00:00:00 UTC+08:00,108.934,109.269,108.758,109.138,125087.16
29.01.2020 00:00:00 UTC+08:00,109.139,109.264,108.951,108.99,126047.48
30.01.2020 00:00:00 UTC+08:00,108.991,109.048,108.586,108.893,195474.64
31.01.2020 00:00:00 UTC+08:00,108.893,109.137,108.312,108.396,169447.8
02.02.2020 00:00:00 UTC+08:00,108.487,108.496,108.32,108.39,10038.38
03.02.2020 00:00:00 UTC+08:00,108.391,108.8,108.367,108.621,170826.65
04.02.2020 00:00:00 UTC+08:00,108.622,109.546,108.551,109.446,119983
05.02.2020 00:00:00 UTC+08:00,109.445,109.848,109.305,109.82,137355.79
06.02.2020 00:00:00 UTC+08:00,109.82,110.029,109.782,109.966,106305.17
07.02.2020 00:00:00 UTC+08:00,109.966,110.012,109.534,109.769,127206.73
09.02.2020 00:00:00 UTC+08:00,109.708,109.783,109.564,109.621,12156.2
10.02.2020 00:00:00 UTC+08:00,109.622,109.879,109.608,109.77,96019.68
11.02.2020 00:00:00 UTC+08:00,109.766,109.964,109.729,109.846,68049.23
12.02.2020 00:00:00 UTC+08:00,109.846,110.138,109.802,109.872,441695.6011
13.02.2020 00:00:00 UTC+08:00,109.873,109.988,109.621,109.773,729518.36
14.02.2020 00:00:00 UTC+08:00,109.773,109.914,109.7,109.796,538215.62
16.02.2020 00:00:00 UTC+08:00,109.875,109.89,109.771,109.797,18411.82
17.02.2020 00:00:00 UTC+08:00,109.796,109.963,109.721,109.839,98871.24
18.02.2020 00:00:00 UTC+08:00,109.84,109.948,109.659,109.923,109555.63
19.02.2020 00:00:00 UTC+08:00,109.924,111.595,109.865,111.199,118720.71
20.02.2020 00:00:00 UTC+08:00,111.2,112.226,111.114,111.973,172852.29
21.02.2020 00:00:00 UTC+08:00,111.975,112.188,111.473,111.559,180009.6
23.02.2020 00:00:00 UTC+08:00,111.286,111.601,111.283,111.551,27345.34
24.02.2020 00:00:00 UTC+08:00,111.552,111.685,110.334,110.856,268596
25.02.2020 00:00:00 UTC+08:00,110.858,111.044,109.892,110.294,346021.2
26.02.2020 00:00:00 UTC+08:00,110.294,110.704,110.132,110.386,377367.18
27.02.2020 00:00:00 UTC+08:00,110.386,110.407,109.34,109.623,391615.5
28.02.2020 00:00:00 UTC+08:00,109.622,109.669,107.512,108.084,480525.18
01.03.2020 00:00:00 UTC+08:00,107.46,107.796,107.38,107.676,20704.57
02.03.2020 00:00:00 UTC+08:00,107.675,108.581,107.403,108.53,427472.07
03.03.2020 00:00:00 UTC+08:00,108.526,108.529,106.85,107.072,413023.53
04.03.2020 00:00:00 UTC+08:00,107.069,107.745,107.033,107.719,311188.44
05.03.2020 00:00:00 UTC+08:00,107.717,107.72,105.974,106.267,287643.66
06.03.2020 00:00:00 UTC+08:00,106.263,106.345,104.996,105.394,391420.14
08.03.2020 00:00:00 UTC+08:00,104.272,104.605,103.524,103.941,47063.45
09.03.2020 00:00:00 UTC+08:00,103.941,104.27,101.184,103.091,473987.05
10.03.2020 00:00:00 UTC+08:00,103.091,105.923,102.711,105.051,496675.54
11.03.2020 00:00:00 UTC+08:00,105.046,105.337,104.101,104.54,399425.89
12.03.2020 00:00:00 UTC+08:00,104.54,106.11,103.091,104.679,488507.19
13.03.2020 00:00:00 UTC+08:00,104.678,108.505,104.663,108.032,495619
15.03.2020 00:00:00 UTC+08:00,107.135,107.366,105.736,106.506,58548.89
16.03.2020 00:00:00 UTC+08:00,106.502,107.58,105.151,106.224,514782.13
17.03.2020 00:00:00 UTC+08:00,106.226,107.864,106.083,107.387,711175.61
18.03.2020 00:00:00 UTC+08:00,107.387,108.659,106.759,108.373,635025.42
19.03.2020 00:00:00 UTC+08:00,108.373,111.371,108.202,111.315,648584.15
20.03.2020 00:00:00 UTC+08:00,111.317,111.508,109.338,110.893,479109.43
22.03.2020 00:00:00 UTC+08:00,110.841,111.266,110.294,110.399,40155.66
23.03.2020 00:00:00 UTC+08:00,110.404,111.599,109.673,110.825,531696.26
24.03.2020 00:00:00 UTC+08:00,110.819,111.717,110.089,111.13,454213.18
25.03.2020 00:00:00 UTC+08:00,111.129,111.684,110.757,110.84,424913.65
26.03.2020 00:00:00 UTC+08:00,110.839,110.957,109.093,109.14,444109.7
27.03.2020 00:00:00 UTC+08:00,109.136,109.397,107.763,108.009,312556.82
29.03.2020 00:00:00 UTC+08:00,107.748,107.978,107.369,107.462,22731.22
30.03.2020 00:00:00 UTC+08:00,107.463,108.299,107.127,108.08,278289.57
31.03.2020 00:00:00 UTC+08:00,108.08,108.735,107.406,107.521,337507.16
01.04.2020 00:00:00 UTC+08:00,107.512,107.947,106.923,107.301,268354.7
02.04.2020 00:00:00 UTC+08:00,107.299,108.203,107.021,108.04,263998.92
03.04.2020 00:00:00 UTC+08:00,108.039,108.68,107.803,108.586,218016.53
05.04.2020 00:00:00 UTC+08:00,108.41,108.749,108.388,108.723,18219.48
06.04.2020 00:00:00 UTC+08:00,108.723,109.384,108.674,109.135,253477.93
07.04.2020 00:00:00 UTC+08:00,109.135,109.148,108.617,108.679,262701.72
08.04.2020 00:00:00 UTC+08:00,108.677,109.104,108.507,108.939,202075.75
09.04.2020 00:00:00 UTC+08:00,108.939,109.066,108.21,108.566,209578.35
10.04.2020 00:00:00 UTC+08:00,108.569,108.6,108.331,108.527,131304.66
12.04.2020 00:00:00 UTC+08:00,108.452,108.534,108.257,108.347,14451.88
13.04.2020 00:00:00 UTC+08:00,108.347,108.383,107.502,107.63,140611.62
14.04.2020 00:00:00 UTC+08:00,107.629,107.761,106.983,107.117,143340.15
15.04.2020 00:00:00 UTC+08:00,107.117,107.872,106.929,107.621,176026.26
16.04.2020 00:00:00 UTC+08:00,107.621,108.088,107.166,107.937,209187.95
17.04.2020 00:00:00 UTC+08:00,107.939,107.957,107.302,107.609,169320.12
19.04.2020 00:00:00 UTC+08:00,107.608,107.709,107.501,107.701,7417.86
20.04.2020 00:00:00 UTC+08:00,107.7,107.951,107.598,107.679,138999.93
21.04.2020 00:00:00 UTC+08:00,107.679,107.895,107.283,107.721,163212.42
22.04.2020 00:00:00 UTC+08:00,107.721,107.94,107.518,107.833,131975.57
23.04.2020 00:00:00 UTC+08:00,107.832,108.047,107.348,107.66,169898.8
24.04.2020 00:00:00 UTC+08:00,107.663,107.763,107.373,107.54,125317.18
26.04.2020 00:00:00 UTC+08:00,107.602,107.646,107.409,107.513,7577.83
27.04.2020 00:00:00 UTC+08:00,107.512,107.625,106.996,107.3,139447.78
28.04.2020 00:00:00 UTC+08:00,107.3,107.342,106.562,106.762,145648.24
29.04.2020 00:00:00 UTC+08:00,106.762,106.776,106.361,106.615,124313.8
30.04.2020 00:00:00 UTC+08:00,106.612,107.502,106.409,107.287,183589.27
01.05.2020 00:00:00 UTC+08:00,107.285,107.409,106.608,106.945,140121.05
03.05.2020 00:00:00 UTC+08:00,106.929,106.947,106.715,106.734,10484.16
04.05.2020 00:00:00 UTC+08:00,106.734,107.072,106.638,106.701,120694.37
05.05.2020 00:00:00 UTC+08:00,106.698,106.897,106.419,106.454,128210.59
06.05.2020 00:00:00 UTC+08:00,106.454,106.454,105.989,106.218,136370.13
07.05.2020 00:00:00 UTC+08:00,106.219,106.658,106.139,106.373,141960.83
08.05.2020 00:00:00 UTC+08:00,106.374,106.753,106.223,106.726,115017.07
10.05.2020 00:00:00 UTC+08:00,106.631,106.96,106.561,106.926,9514.91
11.05.2020 00:00:00 UTC+08:00,106.927,107.77,106.779,107.599,117989.64
12.05.2020 00:00:00 UTC+08:00,107.597,107.688,107.124,107.173,111814.81
13.05.2020 00:00:00 UTC+08:00,107.178,107.27,106.746,106.938,130913.13
14.05.2020 00:00:00 UTC+08:00,106.936,107.377,106.778,107.358,116212.31
15.05.2020 00:00:00 UTC+08:00,107.356,107.437,106.858,107.075,110845.55
17.05.2020 00:00:00 UTC+08:00,107.099,107.286,107.084,107.217,6801.36
18.05.2020 00:00:00 UTC+08:00,107.217,107.508,107.071,107.387,109426.36
19.05.2020 00:00:00 UTC+08:00,107.387,108.089,107.307,107.827,120657.6
20.05.2020 00:00:00 UTC+08:00,107.827,107.987,107.338,107.596,92763.34
21.05.2020 00:00:00 UTC+08:00,107.598,107.85,107.551,107.646,101944.81
22.05.2020 00:00:00 UTC+08:00,107.646,107.765,107.325,107.651,83155.41
24.05.2020 00:00:00 UTC+08:00,107.65,107.784,107.571,107.752,6030.45
25.05.2020 00:00:00 UTC+08:00,107.752,107.783,107.63,107.69,54409.24
26.05.2020 00:00:00 UTC+08:00,107.691,107.925,107.403,107.498,104819.61
27.05.2020 00:00:00 UTC+08:00,107.499,107.949,107.368,107.813,143806.21
28.05.2020 00:00:00 UTC+08:00,107.814,107.904,107.573,107.645,114641.96
29.05.2020 00:00:00 UTC+08:00,107.648,107.901,107.081,107.901,192161.23
31.05.2020 00:00:00 UTC+08:00,107.701,107.817,107.65,107.713,6626.45
01.06.2020 00:00:00 UTC+08:00,107.715,107.859,107.38,107.563,112472.83
02.06.2020 00:00:00 UTC+08:00,107.563,108.84,107.522,108.833,148771.83
03.06.2020 00:00:00 UTC+08:00,108.831,109.043,108.424,109.003,194342.91
04.06.2020 00:00:00 UTC+08:00,109.004,109.203,108.618,109.149,218984.52
05.06.2020 00:00:00 UTC+08:00,109.149,109.851,109.047,109.598,199040.81
07.06.2020 00:00:00 UTC+08:00,109.63,109.696,109.565,109.625,9758.51
08.06.2020 00:00:00 UTC+08:00,109.625,109.627,108.236,108.423,186856.72
09.06.2020 00:00:00 UTC+08:00,108.421,108.421,107.624,107.8,212255.44
10.06.2020 00:00:00 UTC+08:00,107.8,107.876,106.9,107.003,217180.82
11.06.2020 00:00:00 UTC+08:00,107.003,107.237,106.574,106.808,256684.52
12.06.2020 00:00:00 UTC+08:00,106.81,107.556,106.587,107.405,232559.42
14.06.2020 00:00:00 UTC+08:00,107.408,107.576,107.291,107.327,17797.81
15.06.2020 00:00:00 UTC+08:00,107.328,107.502,107.001,107.488,202771.88
16.06.2020 00:00:00 UTC+08:00,107.488,107.643,107.214,107.402,221395.78
17.06.2020 00:00:00 UTC+08:00,107.402,107.444,106.868,106.878,156448.3
18.06.2020 00:00:00 UTC+08:00,106.879,107.131,106.67,107.006,194080.47
19.06.2020 00:00:00 UTC+08:00,107.007,107.048,106.769,106.889,124935.42
21.06.2020 00:00:00 UTC+08:00,106.815,106.889,106.773,106.841,14511.7
22.06.2020 00:00:00 UTC+08:00,106.842,107.013,106.771,106.901,126374.16
23.06.2020 00:00:00 UTC+08:00,106.9,107.223,106.074,106.429,248763.21
24.06.2020 00:00:00 UTC+08:00,106.429,107.152,106.386,107.031,157308.68
25.06.2020 00:00:00 UTC+08:00,107.032,107.453,107.022,107.161,165047.9
26.06.2020 00:00:00 UTC+08:00,107.161,107.36,106.801,107.252,119644.2
28.06.2020 00:00:00 UTC+08:00,107.179,107.279,107.131,107.233,8612.74
29.06.2020 00:00:00 UTC+08:00,107.233,107.886,107.042,107.588,137995.24
30.06.2020 00:00:00 UTC+08:00,107.587,107.997,107.524,107.996,155168.9
01.07.2020 00:00:00 UTC+08:00,107.995,108.166,107.341,107.376,148228.56
02.07.2020 00:00:00 UTC+08:00,107.374,107.726,107.335,107.501,113717.54
03.07.2020 00:00:00 UTC+08:00,107.502,107.57,107.438,107.528,63815.02
05.07.2020 00:00:00 UTC+08:00,107.573,107.599,107.511,107.588,4677.51
06.07.2020 00:00:00 UTC+08:00,107.588,107.774,107.258,107.364,99066.89
07.07.2020 00:00:00 UTC+08:00,107.364,107.792,107.248,107.577,124344.37
08.07.2020 00:00:00 UTC+08:00,107.577,107.713,107.204,107.287,101002.31
09.07.2020 00:00:00 UTC+08:00,107.288,107.399,107.1,107.239,142732.32
10.07.2020 00:00:00 UTC+08:00,107.239,107.267,106.64,106.936,112656.28
12.07.2020 00:00:00 UTC+08:00,106.929,106.936,106.857,106.918,4843.76
13.07.2020 00:00:00 UTC+08:00,106.918,107.32,106.789,107.284,139517.83
14.07.2020 00:00:00 UTC+08:00,107.285,107.439,107.121,107.249,164431.33
15.07.2020 00:00:00 UTC+08:00,107.249,107.311,106.668,106.902,129286.88
16.07.2020 00:00:00 UTC+08:00,106.903,107.401,106.835,107.288,129825.86
17.07.2020 00:00:00 UTC+08:00,107.288,107.363,106.942,107.039,91746.26
19.07.2020 00:00:00 UTC+08:00,107.17,107.224,107.018,107.106,5912.51
20.07.2020 00:00:00 UTC+08:00,107.107,107.544,107.037,107.193,145511.83
21.07.2020 00:00:00 UTC+08:00,107.194,107.369,106.683,106.829,177371.66
22.07.2020 00:00:00 UTC+08:00,106.828,107.29,106.713,107.177,213525.14
23.07.2020 00:00:00 UTC+08:00,107.177,107.232,106.712,106.847,131001.36
24.07.2020 00:00:00 UTC+08:00,106.847,106.85,105.683,106.139,203630.98
26.07.2020 00:00:00 UTC+08:00,106.083,106.119,105.876,105.996,11214.37
27.07.2020 00:00:00 UTC+08:00,105.996,106.053,105.118,105.279,184095.82
28.07.2020 00:00:00 UTC+08:00,105.281,105.688,104.958,105.113,188740.94
29.07.2020 00:00:00 UTC+08:00,105.114,105.244,104.775,105.05,197644.14
30.07.2020 00:00:00 UTC+08:00,105.05,105.297,104.658,104.691,203045.77
