Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
01.01.2019 00:00:00 UTC+08:00,109.689,109.731,109.618,109.675,10506.42
02.01.2019 00:00:00 UTC+08:00,109.674,109.684,104.857,107.431,278311.47
03.01.2019 00:00:00 UTC+08:00,107.434,108.309,106.751,107.856,319416.27
04.01.2019 00:00:00 UTC+08:00,107.855,108.59,107.518,108.552,286785.26
06.01.2019 00:00:00 UTC+08:00,108.552,108.627,108.356,108.554,11061.23
07.01.2019 00:00:00 UTC+08:00,108.554,108.75,108.021,108.63,221247.73
08.01.2019 00:00:00 UTC+08:00,108.63,109.09,108.443,108.756,222594.33
09.01.2019 00:00:00 UTC+08:00,108.756,109.004,107.976,108.189,223276.02
10.01.2019 00:00:00 UTC+08:00,108.188,108.521,107.773,108.287,236048.18
11.01.2019 00:00:00 UTC+08:00,108.287,108.601,108.148,108.573,172155.21
13.01.2019 00:00:00 UTC+08:00,108.591,108.591,108.401,108.456,6295.32
14.01.2019 00:00:00 UTC+08:00,108.456,108.485,107.99,108.242,153291.6
15.01.2019 00:00:00 UTC+08:00,108.242,108.767,108.199,108.658,218157.44
16.01.2019 00:00:00 UTC+08:00,108.658,109.2,108.374,109.044,184383.35
17.01.2019 00:00:00 UTC+08:00,109.044,109.401,108.688,109.147,208282.88
18.01.2019 00:00:00 UTC+08:00,109.148,109.892,109.134,109.796,192137.72
20.01.2019 00:00:00 UTC+08:00,109.771,109.782,109.661,109.685,16356.89
21.01.2019 00:00:00 UTC+08:00,109.684,109.723,109.478,109.678,114216.8
22.01.2019 00:00:00 UTC+08:00,109.678,109.698,109.149,109.359,191433.7
23.01.2019 00:00:00 UTC+08:00,109.36,110.001,109.358,109.501,192248.14
24.01.2019 00:00:00 UTC+08:00,109.503,109.801,109.423,109.6,189791.55
25.01.2019 00:00:00 UTC+08:00,109.601,109.952,109.459,109.561,176686.91
27.01.2019 00:00:00 UTC+08:00,109.557,109.585,109.397,109.417,8859.36
28.01.2019 00:00:00 UTC+08:00,109.417,109.526,109.163,109.26,176704.31
29.01.2019 00:00:00 UTC+08:00,109.26,109.544,109.133,109.43,169679.29
30.01.2019 00:00:00 UTC+08:00,109.43,109.745,108.812,108.98,183473.06
31.01.2019 00:00:00 UTC+08:00,108.979,109.004,108.499,108.85,179099.21
01.02.2019 00:00:00 UTC+08:00,108.849,109.581,108.729,109.521,151374.23
03.02.2019 00:00:00 UTC+08:00,109.535,109.54,109.436,109.447,15211.32
04.02.2019 00:00:00 UTC+08:00,109.447,110.164,109.442,109.981,149449.76
05.02.2019 00:00:00 UTC+08:00,109.981,110.043,109.78,109.946,125801.44
06.02.2019 00:00:00 UTC+08:00,109.945,110.055,109.561,109.991,142064.25
07.02.2019 00:00:00 UTC+08:00,109.99,110.089,109.607,109.757,180581.59
08.02.2019 00:00:00 UTC+08:00,109.754,109.899,109.651,109.763,142813.84
10.02.2019 00:00:00 UTC+08:00,109.84,109.87,109.796,109.818,9255.43
11.02.2019 00:00:00 UTC+08:00,109.821,110.505,109.777,110.397,141376.21
12.02.2019 00:00:00 UTC+08:00,110.398,110.653,110.346,110.517,139938.72
13.02.2019 00:00:00 UTC+08:00,110.517,111.056,110.499,110.934,124927.34
14.02.2019 00:00:00 UTC+08:00,110.934,111.129,110.412,110.544,172125.22
15.02.2019 00:00:00 UTC+08:00,110.542,110.648,110.255,110.484,151805.43
17.02.2019 00:00:00 UTC+08:00,110.48,110.58,110.465,110.578,18357.27
18.02.2019 00:00:00 UTC+08:00,110.576,110.658,110.459,110.597,122048.3
19.02.2019 00:00:00 UTC+08:00,110.598,110.825,110.455,110.585,151793.37
20.02.2019 00:00:00 UTC+08:00,110.584,110.952,110.579,110.753,169896.73
21.02.2019 00:00:00 UTC+08:00,110.753,110.857,110.57,110.709,166251.64
22.02.2019 00:00:00 UTC+08:00,110.71,110.907,110.56,110.763,147886.59
24.02.2019 00:00:00 UTC+08:00,110.674,110.854,110.663,110.776,14942.01
25.02.2019 00:00:00 UTC+08:00,110.776,111.236,110.581,111.043,156897.59
26.02.2019 00:00:00 UTC+08:00,111.043,111.079,110.425,110.556,173380.9
27.02.2019 00:00:00 UTC+08:00,110.555,111.076,110.355,110.867,240686.95
28.02.2019 00:00:00 UTC+08:00,110.867,111.494,110.663,111.367,181790.07
01.03.2019 00:00:00 UTC+08:00,111.366,112.079,111.362,111.952,186940.73
03.03.2019 00:00:00 UTC+08:00,111.876,111.968,111.763,111.939,17909.87
04.03.2019 00:00:00 UTC+08:00,111.939,112.016,111.641,111.784,158901.12
05.03.2019 00:00:00 UTC+08:00,111.784,112.139,111.764,111.872,162355.03
06.03.2019 00:00:00 UTC+08:00,111.869,111.924,111.616,111.627,138871.66
07.03.2019 00:00:00 UTC+08:00,111.627,111.859,111.484,111.645,160517.33
