Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
01.01.2017 00:00:00 UTC+08:00,117.097,117.123,116.824,116.824,414.84
02.01.2017 00:00:00 UTC+08:00,116.83,117.673,116.762,117.466,77816.93
03.01.2017 00:00:00 UTC+08:00,117.468,118.605,117.224,117.636,190074.44
04.01.2017 00:00:00 UTC+08:00,117.636,118.19,117.056,117.139,211276.92
05.01.2017 00:00:00 UTC+08:00,117.138,117.14,115.071,115.349,283265.99
06.01.2017 00:00:00 UTC+08:00,115.349,117.183,115.249,117.011,224577.57
08.01.2017 00:00:00 UTC+08:00,117.03,117.238,117.012,117.155,6192.11
09.01.2017 00:00:00 UTC+08:00,117.152,117.534,115.667,115.993,216736.39
10.01.2017 00:00:00 UTC+08:00,115.992,116.346,115.202,115.873,249574.66
11.01.2017 00:00:00 UTC+08:00,115.873,116.871,114.249,115.101,304048.02
12.01.2017 00:00:00 UTC+08:00,115.101,115.242,113.759,114.678,301290.05
13.01.2017 00:00:00 UTC+08:00,114.685,115.447,114.177,114.552,257550.52
15.01.2017 00:00:00 UTC+08:00,114.356,114.483,114.101,114.231,9491.15
16.01.2017 00:00:00 UTC+08:00,114.228,114.457,113.625,114.168,185417.35
17.01.2017 00:00:00 UTC+08:00,114.171,114.286,112.577,112.901,298347.8
18.01.2017 00:00:00 UTC+08:00,112.901,114.843,112.646,114.714,265728.13
19.01.2017 00:00:00 UTC+08:00,114.714,115.622,114.405,114.945,297257.33
20.01.2017 00:00:00 UTC+08:00,114.942,115.386,114.215,114.645,280108.34
22.01.2017 00:00:00 UTC+08:00,114.296,114.448,113.763,113.813,13137.66
23.01.2017 00:00:00 UTC+08:00,113.81,114.08,112.529,112.791,281651.52
24.01.2017 00:00:00 UTC+08:00,112.794,113.993,112.559,113.87,234068.73
25.01.2017 00:00:00 UTC+08:00,113.868,113.988,113.04,113.279,255988.91
26.01.2017 00:00:00 UTC+08:00,113.273,114.86,113.052,114.43,247538.75
27.01.2017 00:00:00 UTC+08:00,114.431,115.378,114.397,115.147,225908.55
29.01.2017 00:00:00 UTC+08:00,114.772,114.959,114.579,114.656,10352.21
30.01.2017 00:00:00 UTC+08:00,114.658,114.94,113.455,113.693,234187.89
31.01.2017 00:00:00 UTC+08:00,113.687,113.967,112.083,112.781,301499.79
01.02.2017 00:00:00 UTC+08:00,112.782,113.954,112.753,113.299,261096.73
02.02.2017 00:00:00 UTC+08:00,113.298,113.3,112.056,112.818,258074.37
03.02.2017 00:00:00 UTC+08:00,112.818,113.478,112.319,112.569,233193.88
05.02.2017 00:00:00 UTC+08:00,112.511,112.711,112.475,112.652,8719.56
06.02.2017 00:00:00 UTC+08:00,112.65,112.779,111.627,111.835,235921.24
07.02.2017 00:00:00 UTC+08:00,111.831,112.581,111.598,112.385,223512.18
08.02.2017 00:00:00 UTC+08:00,112.385,112.546,111.634,111.975,224746.85
09.02.2017 00:00:00 UTC+08:00,111.972,113.474,111.891,113.435,208227.53
10.02.2017 00:00:00 UTC+08:00,113.435,113.86,112.867,113.227,211848.02
12.02.2017 00:00:00 UTC+08:00,113.59,113.971,113.467,113.933,8413.97
13.02.2017 00:00:00 UTC+08:00,113.934,114.171,113.439,113.691,191703.17
14.02.2017 00:00:00 UTC+08:00,113.686,114.501,113.254,114.292,212149.6
15.02.2017 00:00:00 UTC+08:00,114.293,114.96,113.866,114.131,213874.38
16.02.2017 00:00:00 UTC+08:00,114.132,114.168,113.084,113.325,230931.65
17.02.2017 00:00:00 UTC+08:00,113.325,113.505,112.621,112.82,193271.57
19.02.2017 00:00:00 UTC+08:00,112.9,112.992,112.798,112.921,6246.61
20.02.2017 00:00:00 UTC+08:00,112.922,113.301,112.841,113.275,118790.82
21.02.2017 00:00:00 UTC+08:00,113.271,113.781,113.244,113.675,166888.36
22.02.2017 00:00:00 UTC+08:00,113.675,113.683,112.909,113.413,202448.68
23.02.2017 00:00:00 UTC+08:00,113.417,113.431,112.555,112.701,178170.84
24.02.2017 00:00:00 UTC+08:00,112.699,112.957,111.939,112.202,182611.13
26.02.2017 00:00:00 UTC+08:00,112.186,112.324,112.149,112.185,10344.73
27.02.2017 00:00:00 UTC+08:00,112.187,112.843,111.923,112.749,172890.88
28.02.2017 00:00:00 UTC+08:00,112.75,113.116,111.692,113.1,210392.68
01.03.2017 00:00:00 UTC+08:00,113.098,114.148,112.77,114.123,239473.37
02.03.2017 00:00:00 UTC+08:00,114.121,114.594,113.83,114.358,186420.97
03.03.2017 00:00:00 UTC+08:00,114.357,114.751,113.815,114.039,196304.12
05.03.2017 00:00:00 UTC+08:00,113.93,114.14,113.802,113.823,6043.27
06.03.2017 00:00:00 UTC+08:00,113.818,114.104,113.561,113.909,158010.74
07.03.2017 00:00:00 UTC+08:00,113.909,114.156,113.732,113.927,144878.21
08.03.2017 00:00:00 UTC+08:00,113.926,114.751,113.61,114.418,182748.28
09.03.2017 00:00:00 UTC+08:00,114.418,115.195,114.368,115.147,207852.62
10.03.2017 00:00:00 UTC+08:00,115.143,115.505,114.658,114.852,202144.87
12.03.2017 00:00:00 UTC+08:00,114.806,114.886,114.7,114.762,6295.21
13.03.2017 00:00:00 UTC+08:00,114.762,114.98,114.485,114.919,158264.08
14.03.2017 00:00:00 UTC+08:00,114.918,115.196,114.521,114.658,166601.17
15.03.2017 00:00:00 UTC+08:00,114.662,114.886,113.178,113.394,190475.62
16.03.2017 00:00:00 UTC+08:00,113.391,113.541,112.907,113.353,201071.27
17.03.2017 00:00:00 UTC+08:00,113.359,113.495,112.565,112.711,148860.77
19.03.2017 00:00:00 UTC+08:00,112.741,112.757,112.602,112.682,6079.1
20.03.2017 00:00:00 UTC+08:00,112.682,112.899,112.44,112.565,138645.17
21.03.2017 00:00:00 UTC+08:00,112.565,112.869,111.437,111.538,222655.93
22.03.2017 00:00:00 UTC+08:00,111.539,111.771,110.735,111.374,244010.07
23.03.2017 00:00:00 UTC+08:00,111.374,111.582,110.632,110.998,254538.37
24.03.2017 00:00:00 UTC+08:00,110.998,111.484,110.629,111.357,206019.27
26.03.2017 00:00:00 UTC+08:00,110.93,111.056,110.423,110.558,19139.31
27.03.2017 00:00:00 UTC+08:00,110.553,110.83,110.113,110.767,191849.75
28.03.2017 00:00:00 UTC+08:00,110.766,111.244,110.18,111.233,186351.03
29.03.2017 00:00:00 UTC+08:00,111.231,111.318,110.719,111.151,187134.29
30.03.2017 00:00:00 UTC+08:00,111.15,111.947,110.943,111.741,188042.37
31.03.2017 00:00:00 UTC+08:00,111.74,112.201,111.246,111.398,196975.7
02.04.2017 00:00:00 UTC+08:00,111.491,111.502,111.225,111.276,7923.06
03.04.2017 00:00:00 UTC+08:00,111.275,111.59,110.687,110.688,184868.47
04.04.2017 00:00:00 UTC+08:00,110.685,110.914,110.272,110.849,197855.71
05.04.2017 00:00:00 UTC+08:00,110.85,111.456,110.362,110.4,223005.92
06.04.2017 00:00:00 UTC+08:00,110.399,111.142,110.295,110.892,213973.77
07.04.2017 00:00:00 UTC+08:00,110.89,111.368,110.136,111.093,265827.01
09.04.2017 00:00:00 UTC+08:00,111.128,111.363,111.021,111.224,11337.13
10.04.2017 00:00:00 UTC+08:00,111.222,111.581,110.663,110.695,172230.44
11.04.2017 00:00:00 UTC+08:00,110.693,110.851,109.542,109.565,216311.19
12.04.2017 00:00:00 UTC+08:00,109.564,109.868,108.848,108.894,230171.29
13.04.2017 00:00:00 UTC+08:00,108.894,109.396,108.729,109.121,205034.6
14.04.2017 00:00:00 UTC+08:00,109.123,109.237,108.557,108.669,78329.64
