Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
01.01.2018 00:00:00 UTC+08:00,112.651,112.792,112.594,112.776,11359.7
02.01.2018 00:00:00 UTC+08:00,112.776,112.795,112.057,112.258,111804.39
03.01.2018 00:00:00 UTC+08:00,112.258,112.627,112.193,112.611,130512.47
04.01.2018 00:00:00 UTC+08:00,112.611,112.866,112.49,112.805,118979.45
05.01.2018 00:00:00 UTC+08:00,112.806,113.319,112.724,113.085,110078.1
07.01.2018 00:00:00 UTC+08:00,113.152,113.184,113.025,113.162,9333.69
08.01.2018 00:00:00 UTC+08:00,113.163,113.389,112.885,113.151,100394.19
09.01.2018 00:00:00 UTC+08:00,113.15,113.183,112.368,112.779,132964.69
10.01.2018 00:00:00 UTC+08:00,112.779,112.788,111.271,111.462,167735.38
11.01.2018 00:00:00 UTC+08:00,111.461,111.877,111.047,111.289,171797.37
12.01.2018 00:00:00 UTC+08:00,111.29,111.697,110.916,111.051,166904.44
14.01.2018 00:00:00 UTC+08:00,111.112,111.172,110.98,111.145,9077.12
15.01.2018 00:00:00 UTC+08:00,111.146,111.189,110.332,110.621,149575.04
16.01.2018 00:00:00 UTC+08:00,110.621,110.983,110.249,110.397,165809.08
17.01.2018 00:00:00 UTC+08:00,110.397,111.394,110.197,111.358,179693.24
18.01.2018 00:00:00 UTC+08:00,111.356,111.485,110.695,111.043,161488.42
19.01.2018 00:00:00 UTC+08:00,111.039,111.132,110.494,110.84,167626.9
21.01.2018 00:00:00 UTC+08:00,110.583,110.811,110.534,110.69,13134.7
22.01.2018 00:00:00 UTC+08:00,110.69,111.225,110.597,110.987,138615.86
23.01.2018 00:00:00 UTC+08:00,110.983,111.179,110.067,110.127,175111.85
24.01.2018 00:00:00 UTC+08:00,110.129,110.3,108.968,109.325,199992.38
25.01.2018 00:00:00 UTC+08:00,109.327,109.725,108.501,109.677,248562.01
26.01.2018 00:00:00 UTC+08:00,109.677,109.774,108.287,108.617,223931.02
28.01.2018 00:00:00 UTC+08:00,108.735,108.798,108.593,108.611,17388.21
29.01.2018 00:00:00 UTC+08:00,108.611,109.205,108.513,108.948,193940.69
30.01.2018 00:00:00 UTC+08:00,108.949,109.207,108.417,108.745,218558.95
31.01.2018 00:00:00 UTC+08:00,108.75,109.448,108.599,109.2,212910.64
01.02.2018 00:00:00 UTC+08:00,109.199,109.752,109.099,109.403,205877.42
02.02.2018 00:00:00 UTC+08:00,109.403,110.486,109.284,110.19,282823.02
04.02.2018 00:00:00 UTC+08:00,110.218,110.294,110.025,110.04,19527.9
05.02.2018 00:00:00 UTC+08:00,110.035,110.267,108.994,109.059,244450.2
06.02.2018 00:00:00 UTC+08:00,109.058,109.721,108.459,109.63,384999.08
07.02.2018 00:00:00 UTC+08:00,109.634,109.703,108.922,109.158,264870.14
