Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
02.01.2022 00:00:00 UTC+08:00,115.181,115.181,115.1,115.148,2698.86
03.01.2022 00:00:00 UTC+08:00,115.148,115.371,114.95,115.334,68600.31
04.01.2022 00:00:00 UTC+08:00,115.335,116.356,115.295,116.177,112631.22
05.01.2022 00:00:00 UTC+08:00,116.179,116.245,115.622,116.132,105027.12
06.01.2022 00:00:00 UTC+08:00,116.128,116.188,115.628,115.868,104957.39
07.01.2022 00:00:00 UTC+08:00,115.869,116.052,115.536,115.608,83916.66
09.01.2022 00:00:00 UTC+08:00,115.711,115.711,115.571,115.623,4114.31
10.01.2022 00:00:00 UTC+08:00,115.623,115.854,115.044,115.283,98639.76
11.01.2022 00:00:00 UTC+08:00,115.285,115.683,115.127,115.337,100584.86
12.01.2022 00:00:00 UTC+08:00,115.337,115.497,114.383,114.677,102685.45
13.01.2022 00:00:00 UTC+08:00,114.677,114.703,114.001,114.121,95599.3
14.01.2022 00:00:00 UTC+08:00,114.121,114.269,113.485,114.208,123097.03
16.01.2022 00:00:00 UTC+08:00,114.2,114.344,114.167,114.311,4570.18
17.01.2022 00:00:00 UTC+08:00,114.315,114.654,114.278,114.577,61162.93
18.01.2022 00:00:00 UTC+08:00,114.576,115.061,114.452,114.56,126930.21
19.01.2022 00:00:00 UTC+08:00,114.56,114.791,114.209,114.352,112454.3
20.01.2022 00:00:00 UTC+08:00,114.352,114.551,113.863,113.996,108007.78
21.01.2022 00:00:00 UTC+08:00,113.993,114.036,113.606,113.712,128999.47
23.01.2022 00:00:00 UTC+08:00,113.7,113.806,113.661,113.79,5646.09
24.01.2022 00:00:00 UTC+08:00,113.791,114.1,113.471,114.018,159946.66
25.01.2022 00:00:00 UTC+08:00,114.016,114.159,113.672,113.899,162778.98
26.01.2022 00:00:00 UTC+08:00,113.898,114.745,113.78,114.725,129040.72
27.01.2022 00:00:00 UTC+08:00,114.722,115.491,114.477,115.356,166606.54
