Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
03.01.2016 00:00:00 UTC+08:00,120.233,120.393,120.221,120.32,3842.84
04.01.2016 00:00:00 UTC+08:00,120.319,120.469,118.705,119.474,137851.82
05.01.2016 00:00:00 UTC+08:00,119.477,119.699,118.797,119.115,151042.91
06.01.2016 00:00:00 UTC+08:00,119.114,119.165,118.254,118.626,173533.93
07.01.2016 00:00:00 UTC+08:00,118.626,118.759,117.331,117.533,195770.01
08.01.2016 00:00:00 UTC+08:00,117.537,118.848,117.232,117.271,183177.92
10.01.2016 00:00:00 UTC+08:00,117.232,117.232,116.703,117.065,10476.81
11.01.2016 00:00:00 UTC+08:00,117.068,118.026,116.979,117.69,187238.22
12.01.2016 00:00:00 UTC+08:00,117.688,118.076,117.231,117.84,190407.95
13.01.2016 00:00:00 UTC+08:00,117.838,118.382,117.377,117.421,180124.78
14.01.2016 00:00:00 UTC+08:00,117.423,118.281,117.297,118.23,203790.98
15.01.2016 00:00:00 UTC+08:00,118.23,118.267,116.512,117.057,209093.56
17.01.2016 00:00:00 UTC+08:00,116.77,117.058,116.731,117.004,6556.66
18.01.2016 00:00:00 UTC+08:00,117.005,117.449,116.93,117.404,131433.84
19.01.2016 00:00:00 UTC+08:00,117.405,118.117,117.235,117.57,181142.28
20.01.2016 00:00:00 UTC+08:00,117.568,117.571,115.976,117.2,234291.05
21.01.2016 00:00:00 UTC+08:00,117.203,117.939,116.474,117.93,274995.7
22.01.2016 00:00:00 UTC+08:00,117.929,118.878,117.543,118.805,189940.93
24.01.2016 00:00:00 UTC+08:00,118.683,118.798,118.566,118.566,4492.12
25.01.2016 00:00:00 UTC+08:00,118.565,118.859,118.174,118.239,167802.59
26.01.2016 00:00:00 UTC+08:00,118.238,118.624,117.66,118.392,165925.7
27.01.2016 00:00:00 UTC+08:00,118.392,119.075,118.046,118.485,188971.79
28.01.2016 00:00:00 UTC+08:00,118.487,118.994,118.42,118.931,177617.69
29.01.2016 00:00:00 UTC+08:00,118.933,121.689,118.526,121.137,211941.72
31.01.2016 00:00:00 UTC+08:00,121.349,121.497,121.168,121.353,8049.75
01.02.2016 00:00:00 UTC+08:00,121.353,121.442,120.682,120.86,154156.34
02.02.2016 00:00:00 UTC+08:00,120.86,121.018,119.698,119.854,177375.85
03.02.2016 00:00:00 UTC+08:00,119.854,120.047,117.057,118.171,228305.85
04.02.2016 00:00:00 UTC+08:00,118.17,118.214,116.53,116.86,220235.51
05.02.2016 00:00:00 UTC+08:00,116.859,117.432,116.307,116.863,188069.11
07.02.2016 00:00:00 UTC+08:00,116.867,117.011,116.865,116.956,8864.44
08.02.2016 00:00:00 UTC+08:00,116.958,117.528,115.179,115.673,204825.83
09.02.2016 00:00:00 UTC+08:00,115.668,115.669,114.215,115.193,269914.49
10.02.2016 00:00:00 UTC+08:00,115.192,115.224,113.126,113.248,259509.41
11.02.2016 00:00:00 UTC+08:00,113.246,113.494,110.992,112.501,273566.07
12.02.2016 00:00:00 UTC+08:00,112.5,113.544,111.667,113.253,239759.96
14.02.2016 00:00:00 UTC+08:00,113.424,113.713,113.305,113.686,7600.03
15.02.2016 00:00:00 UTC+08:00,113.681,114.734,113.277,114.354,166345.08
16.02.2016 00:00:00 UTC+08:00,114.356,114.878,113.6,114.14,182785.42
17.02.2016 00:00:00 UTC+08:00,114.138,114.507,113.377,114.302,186398.97
18.02.2016 00:00:00 UTC+08:00,114.302,114.327,113.144,113.259,165816.14
19.02.2016 00:00:00 UTC+08:00,113.259,113.3,112.311,112.598,170880.56
21.02.2016 00:00:00 UTC+08:00,112.584,112.652,112.431,112.531,6152.56
22.02.2016 00:00:00 UTC+08:00,112.534,113.391,112.515,112.962,151982.92
23.02.2016 00:00:00 UTC+08:00,112.96,113.004,111.777,111.914,193462.99
24.02.2016 00:00:00 UTC+08:00,111.914,112.268,111.047,112.071,199884.09
25.02.2016 00:00:00 UTC+08:00,112.069,113.17,111.986,113.149,197883.91
26.02.2016 00:00:00 UTC+08:00,113.148,114.001,112.563,113.993,162181.48
28.02.2016 00:00:00 UTC+08:00,113.985,113.996,113.566,113.724,8213.99
29.02.2016 00:00:00 UTC+08:00,113.723,113.862,112.202,112.417,186344.13
01.03.2016 00:00:00 UTC+08:00,112.418,114.188,112.163,113.921,177951.03
02.03.2016 00:00:00 UTC+08:00,113.921,114.557,113.22,113.492,192736.42
03.03.2016 00:00:00 UTC+08:00,113.492,114.272,113.3,113.697,193163.31
04.03.2016 00:00:00 UTC+08:00,113.697,114.26,113.124,113.792,201116.77
06.03.2016 00:00:00 UTC+08:00,113.967,113.974,113.769,113.834,8280.69
07.03.2016 00:00:00 UTC+08:00,113.836,113.866,113.228,113.498,164200.7
