Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
01.01.2023 00:00:00 UTC+08:00,131.001,131.018,130.823,130.981,593.87
02.01.2023 00:00:00 UTC+08:00,130.99,131.416,130.541,130.799,219381.92
03.01.2023 00:00:00 UTC+08:00,130.803,131.471,129.513,131.303,855490.28
04.01.2023 00:00:00 UTC+08:00,131.303,132.723,129.932,132.259,875935.09
05.01.2023 00:00:00 UTC+08:00,132.252,134.06,131.687,133.329,850780.12
06.01.2023 00:00:00 UTC+08:00,133.328,134.78,131.999,132.13,809331.69
08.01.2023 00:00:00 UTC+08:00,132.028,132.295,131.793,131.813,19735.43
09.01.2023 00:00:00 UTC+08:00,131.814,132.661,131.313,131.741,760137.63
10.01.2023 00:00:00 UTC+08:00,131.74,132.484,131.39,132.113,795214.85
11.01.2023 00:00:00 UTC+08:00,132.113,132.878,131.779,131.911,697119.51
12.01.2023 00:00:00 UTC+08:00,131.91,132.045,128.876,129.18,762882.85
13.01.2023 00:00:00 UTC+08:00,129.18,129.355,127.464,127.877,381434.18
15.01.2023 00:00:00 UTC+08:00,127.871,128.161,127.755,128.064,13158.28
16.01.2023 00:00:00 UTC+08:00,128.063,128.873,127.231,128.349,251665.91
17.01.2023 00:00:00 UTC+08:00,128.349,129.163,127.999,128.291,317900.19
18.01.2023 00:00:00 UTC+08:00,128.295,131.589,127.573,128.559,512586.9
19.01.2023 00:00:00 UTC+08:00,128.553,128.822,127.765,128.38,297135.23
20.01.2023 00:00:00 UTC+08:00,128.381,130.62,128.35,129.517,248917.99
22.01.2023 00:00:00 UTC+08:00,129.527,129.712,129.317,129.397,9736.9
23.01.2023 00:00:00 UTC+08:00,129.396,130.896,129.05,130.602,260412.77
24.01.2023 00:00:00 UTC+08:00,130.598,131.123,129.733,130.218,452962.67
25.01.2023 00:00:00 UTC+08:00,130.219,130.59,129.235,129.267,594141.52
26.01.2023 00:00:00 UTC+08:00,129.266,130.622,129.028,129.816,692116.79
27.01.2023 00:00:00 UTC+08:00,129.814,130.274,129.504,129.935,532921.38
29.01.2023 00:00:00 UTC+08:00,129.796,129.909,129.696,129.847,23525.67
30.01.2023 00:00:00 UTC+08:00,129.846,130.575,129.209,130.489,501947.01
31.01.2023 00:00:00 UTC+08:00,130.488,130.511,129.75,130.118,572399.91
01.02.2023 00:00:00 UTC+08:00,130.118,130.416,128.423,128.612,714371.99
02.02.2023 00:00:00 UTC+08:00,128.611,129.141,128.087,128.771,745120.36
03.02.2023 00:00:00 UTC+08:00,128.772,131.236,128.332,131.235,553702.65
05.02.2023 00:00:00 UTC+08:00,132.499,132.525,131.517,132.071,24120.75
06.02.2023 00:00:00 UTC+08:00,132.07,132.907,131.589,132.631,646598.46
07.02.2023 00:00:00 UTC+08:00,132.631,132.631,130.48,131.064,746913.67
08.02.2023 00:00:00 UTC+08:00,131.064,131.545,130.602,131.395,480348.37
09.02.2023 00:00:00 UTC+08:00,131.396,131.832,130.346,131.524,674973.46
10.02.2023 00:00:00 UTC+08:00,131.525,131.893,129.808,131.414,754130.34
12.02.2023 00:00:00 UTC+08:00,131.364,131.659,131.309,131.561,14717.98
13.02.2023 00:00:00 UTC+08:00,131.56,132.914,131.453,132.343,602839.17
14.02.2023 00:00:00 UTC+08:00,132.343,133.32,131.512,132.998,814483.83
15.02.2023 00:00:00 UTC+08:00,132.996,134.363,132.552,133.914,663866.99
16.02.2023 00:00:00 UTC+08:00,133.912,134.466,133.609,134.081,674384.87
17.02.2023 00:00:00 UTC+08:00,134.08,135.122,134.058,134.203,575566.46
19.02.2023 00:00:00 UTC+08:00,134.318,134.349,134.24,134.321,20261.65
20.02.2023 00:00:00 UTC+08:00,134.321,134.543,133.928,134.347,408342.56
21.02.2023 00:00:00 UTC+08:00,134.346,135.233,134.154,134.999,601131.11
22.02.2023 00:00:00 UTC+08:00,134.999,135.067,134.37,134.941,624671.54
23.02.2023 00:00:00 UTC+08:00,134.942,135.372,134.287,134.631,512463.26
24.02.2023 00:00:00 UTC+08:00,134.631,136.525,134.06,136.513,653081.67
26.02.2023 00:00:00 UTC+08:00,136.471,136.537,136.245,136.43,7700.7
27.02.2023 00:00:00 UTC+08:00,136.43,136.565,135.92,136.327,461234.47
28.02.2023 00:00:00 UTC+08:00,136.327,136.923,135.737,136.353,483833.67
01.03.2023 00:00:00 UTC+08:00,136.352,136.477,135.261,136.196,554341.5
02.03.2023 00:00:00 UTC+08:00,136.197,137.108,136.057,136.728,543379.12
03.03.2023 00:00:00 UTC+08:00,136.726,136.775,135.749,135.86,470240.69
05.03.2023 00:00:00 UTC+08:00,136.051,136.056,135.866,136.027,33803.59
06.03.2023 00:00:00 UTC+08:00,136.025,136.197,135.372,136.004,461022.71
07.03.2023 00:00:00 UTC+08:00,136.002,137.445,135.544,137.396,515773.14
08.03.2023 00:00:00 UTC+08:00,137.396,137.916,136.483,137.233,485440.12
09.03.2023 00:00:00 UTC+08:00,137.234,137.261,135.946,136.375,465814.61
10.03.2023 00:00:00 UTC+08:00,136.375,136.998,134.119,135.067,804195
12.03.2023 00:00:00 UTC+08:00,134.664,135.065,133.563,134.978,48118.81
13.03.2023 00:00:00 UTC+08:00,134.985,134.985,132.29,133.094,1091084.71
14.03.2023 00:00:00 UTC+08:00,133.094,134.905,133.035,134.443,835307.93
15.03.2023 00:00:00 UTC+08:00,134.442,135.119,132.22,132.912,1076148.61
16.03.2023 00:00:00 UTC+08:00,132.912,133.833,131.724,133.372,932911.74
17.03.2023 00:00:00 UTC+08:00,133.371,133.589,131.558,131.889,745936.52
19.03.2023 00:00:00 UTC+08:00,131.882,132.37,131.7,132.283,45127.49
20.03.2023 00:00:00 UTC+08:00,132.285,132.651,130.546,131.404,823114.82
21.03.2023 00:00:00 UTC+08:00,131.404,132.636,131.04,132.406,471460.47
22.03.2023 00:00:00 UTC+08:00,132.406,133.006,131.011,131.196,589875.28
23.03.2023 00:00:00 UTC+08:00,131.191,131.668,130.326,130.875,562028.5
24.03.2023 00:00:00 UTC+08:00,130.875,130.947,129.643,130.732,710763.41
26.03.2023 00:00:00 UTC+08:00,130.671,130.969,130.572,130.856,26917.2
27.03.2023 00:00:00 UTC+08:00,130.856,131.764,130.502,131.246,501699.1
28.03.2023 00:00:00 UTC+08:00,131.247,131.299,130.413,131.056,528032.9
29.03.2023 00:00:00 UTC+08:00,131.055,132.893,130.933,132.557,497742.51
30.03.2023 00:00:00 UTC+08:00,132.553,133.276,132.206,133.206,488970.61
31.03.2023 00:00:00 UTC+08:00,133.206,133.599,132.624,132.824,466773.22
02.04.2023 00:00:00 UTC+08:00,133.432,133.432,133.07,133.359,37355.67
03.04.2023 00:00:00 UTC+08:00,133.36,133.761,132.177,132.329,520754.19
04.04.2023 00:00:00 UTC+08:00,132.329,133.175,131.379,131.442,511800.04
05.04.2023 00:00:00 UTC+08:00,131.442,131.85,130.633,130.946,554017.4
06.04.2023 00:00:00 UTC+08:00,130.947,131.936,130.782,131.68,399734.77
07.04.2023 00:00:00 UTC+08:00,131.679,132.383,131.531,132.24,201210.79
09.04.2023 00:00:00 UTC+08:00,132.216,132.218,131.836,132.108,22038.92
10.04.2023 00:00:00 UTC+08:00,132.106,133.876,131.999,133.476,449048.09
11.04.2023 00:00:00 UTC+08:00,133.475,133.811,132.977,133.605,415718.42
