Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
03.01.2021 00:00:00 UTC+08:00,103.14,103.32,103.138,103.249,5109.6
04.01.2021 00:00:00 UTC+08:00,103.25,103.265,102.715,103.138,114308.77
05.01.2021 00:00:00 UTC+08:00,103.137,103.194,102.606,102.689,115591.17
06.01.2021 00:00:00 UTC+08:00,102.687,103.445,102.594,103.026,144318.35
07.01.2021 00:00:00 UTC+08:00,103.023,103.959,102.953,103.805,119493.79
08.01.2021 00:00:00 UTC+08:00,103.805,104.093,103.606,103.995,143468.47
10.01.2021 00:00:00 UTC+08:00,103.932,104.099,103.896,104.089,6383.91
11.01.2021 00:00:00 UTC+08:00,104.089,104.399,104.035,104.143,102910.68
12.01.2021 00:00:00 UTC+08:00,104.141,104.333,103.723,103.752,101319.63
13.01.2021 00:00:00 UTC+08:00,103.751,103.998,103.526,103.83,103262.1
14.01.2021 00:00:00 UTC+08:00,103.831,104.2,103.565,103.842,113052.96
15.01.2021 00:00:00 UTC+08:00,103.843,103.917,103.619,103.882,89155.75
17.01.2021 00:00:00 UTC+08:00,103.827,103.928,103.818,103.921,4399.66
18.01.2021 00:00:00 UTC+08:00,103.919,103.934,103.639,103.709,90866.08
19.01.2021 00:00:00 UTC+08:00,103.708,104.088,103.655,103.902,101330.76
20.01.2021 00:00:00 UTC+08:00,103.902,103.931,103.447,103.56,94409.74
21.01.2021 00:00:00 UTC+08:00,103.56,103.67,103.33,103.512,98326.58
22.01.2021 00:00:00 UTC+08:00,103.512,103.888,103.497,103.844,78022.86
24.01.2021 00:00:00 UTC+08:00,103.829,103.853,103.778,103.793,4050.73
25.01.2021 00:00:00 UTC+08:00,103.792,103.938,103.674,103.768,85773
26.01.2021 00:00:00 UTC+08:00,103.767,103.83,103.556,103.604,72246.62
27.01.2021 00:00:00 UTC+08:00,103.601,104.201,103.588,104.144,86120.13
28.01.2021 00:00:00 UTC+08:00,104.145,104.464,104.137,104.306,90061.2
29.01.2021 00:00:00 UTC+08:00,104.303,104.942,104.29,104.757,91516.31
31.01.2021 00:00:00 UTC+08:00,104.791,104.822,104.681,104.72,6386.18
01.02.2021 00:00:00 UTC+08:00,104.72,105.037,104.61,104.886,68847.04
02.02.2021 00:00:00 UTC+08:00,104.886,105.175,104.83,105.033,78599.67
03.02.2021 00:00:00 UTC+08:00,105.032,105.106,104.924,104.998,59434.94
04.02.2021 00:00:00 UTC+08:00,104.998,105.671,104.977,105.578,68654.06
05.02.2021 00:00:00 UTC+08:00,105.577,105.77,105.336,105.386,83338.68
07.02.2021 00:00:00 UTC+08:00,105.379,105.441,105.358,105.399,8593.99
08.02.2021 00:00:00 UTC+08:00,105.398,105.673,105.152,105.216,73168.88
09.02.2021 00:00:00 UTC+08:00,105.215,105.231,104.499,104.586,93555.19
10.02.2021 00:00:00 UTC+08:00,104.588,104.844,104.411,104.622,80011.84
11.02.2021 00:00:00 UTC+08:00,104.62,104.807,104.553,104.754,54251.52
12.02.2021 00:00:00 UTC+08:00,104.753,105.183,104.739,104.964,62732.39
14.02.2021 00:00:00 UTC+08:00,104.92,105.086,104.92,105.07,10089.01
15.02.2021 00:00:00 UTC+08:00,105.067,105.419,104.98,105.374,57357.21
16.02.2021 00:00:00 UTC+08:00,105.375,106.227,105.181,106.12,86247.18
17.02.2021 00:00:00 UTC+08:00,106.12,106.215,105.779,105.855,88979.51
18.02.2021 00:00:00 UTC+08:00,105.856,105.927,105.6,105.657,74900.37
19.02.2021 00:00:00 UTC+08:00,105.656,105.745,105.241,105.482,73020.41
21.02.2021 00:00:00 UTC+08:00,105.412,105.624,105.408,105.539,5244.53
22.02.2021 00:00:00 UTC+08:00,105.537,105.846,104.925,105.01,94536.03
23.02.2021 00:00:00 UTC+08:00,105.009,105.43,104.924,105.299,68181.62
24.02.2021 00:00:00 UTC+08:00,105.298,106.105,105.27,105.958,98793.54
25.02.2021 00:00:00 UTC+08:00,105.959,106.416,105.846,106.393,138746.78
26.02.2021 00:00:00 UTC+08:00,106.391,106.694,105.85,106.637,154210.68
