Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
30.03.2025 00:00:00 UTC+08:00,149.849,149.956,149.307,149.624,18094.39
31.03.2025 00:00:00 UTC+08:00,149.624,150.271,148.706,149.95,349064.29
01.04.2025 00:00:00 UTC+08:00,149.951,149.996,148.979,149.757,327853.93
02.04.2025 00:00:00 UTC+08:00,149.757,150.495,147.691,147.884,342785.12
03.04.2025 00:00:00 UTC+08:00,147.883,148.341,145.198,146.264,514036.04
04.04.2025 00:00:00 UTC+08:00,146.263,147.441,144.558,147.046,643314.75
06.04.2025 00:00:00 UTC+08:00,145.602,145.708,144.822,145.445,61249.23
07.04.2025 00:00:00 UTC+08:00,145.443,148.154,145.077,147.799,732405.61
08.04.2025 00:00:00 UTC+08:00,147.798,147.974,145.606,145.857,686266.97
09.04.2025 00:00:00 UTC+08:00,145.856,148.292,143.994,147.407,711644.54
10.04.2025 00:00:00 UTC+08:00,147.407,147.467,143.719,143.759,598860.65
11.04.2025 00:00:00 UTC+08:00,143.761,144.207,142.071,143.558,528171.27
13.04.2025 00:00:00 UTC+08:00,143.994,144.122,143.517,143.698,30011.32
14.04.2025 00:00:00 UTC+08:00,143.698,144.087,142.237,143.221,390184.09
15.04.2025 00:00:00 UTC+08:00,143.221,143.599,142.603,143.167,300330.01
16.04.2025 00:00:00 UTC+08:00,143.165,143.182,141.618,141.932,329544.8
17.04.2025 00:00:00 UTC+08:00,141.934,143.093,141.853,142.394,305542.43
18.04.2025 00:00:00 UTC+08:00,142.391,142.464,142.128,142.249,367570.45
20.04.2025 00:00:00 UTC+08:00,142.2,142.221,141.503,141.597,22207.83
21.04.2025 00:00:00 UTC+08:00,141.599,141.599,140.48,140.878,239262.26
22.04.2025 00:00:00 UTC+08:00,140.879,143.234,139.889,142.708,324648.61
23.04.2025 00:00:00 UTC+08:00,142.708,143.58,141.535,143.201,331121.83
24.04.2025 00:00:00 UTC+08:00,143.199,143.345,142.283,142.859,225916.75
25.04.2025 00:00:00 UTC+08:00,142.86,144.034,142.823,143.718,242039.63
27.04.2025 00:00:00 UTC+08:00,143.671,143.884,143.599,143.857,10963.43
28.04.2025 00:00:00 UTC+08:00,143.857,143.898,141.989,142.187,210821.18
29.04.2025 00:00:00 UTC+08:00,142.187,142.763,141.971,142.266,202262.45
30.04.2025 00:00:00 UTC+08:00,142.265,143.194,142.178,143.03,221110.58
01.05.2025 00:00:00 UTC+08:00,143.028,145.738,142.881,145.415,217748.47
02.05.2025 00:00:00 UTC+08:00,145.415,145.93,143.734,145.025,272309.19
04.05.2025 00:00:00 UTC+08:00,144.743,145.003,144.517,144.655,11000.78
05.05.2025 00:00:00 UTC+08:00,144.655,144.804,143.545,143.711,193837.26
06.05.2025 00:00:00 UTC+08:00,143.709,144.28,142.357,143.096,225354.63
07.05.2025 00:00:00 UTC+08:00,143.093,144.003,142.752,143.869,254075.98
08.05.2025 00:00:00 UTC+08:00,143.869,146.181,143.452,145.957,255773.5
09.05.2025 00:00:00 UTC+08:00,145.955,146.193,144.829,145.433,181070.2
11.05.2025 00:00:00 UTC+08:00,146.287,146.291,145.707,145.845,14783.4
12.05.2025 00:00:00 UTC+08:00,145.843,148.652,145.719,148.265,297534.52
13.05.2025 00:00:00 UTC+08:00,148.26,148.281,147.312,147.531,221125.49
14.05.2025 00:00:00 UTC+08:00,147.531,147.674,145.611,146.643,252619.58
15.05.2025 00:00:00 UTC+08:00,146.643,146.756,145.417,145.58,223162.36
